Country Code,Country Name,Year,Last_Known_ECI,Ensemble,ECI_std,LASSO,Ridge,Elastic Net,RF
MEX,Mexico,2023,1.04,0.5403149620315365,0.27717403332421103,0.3771076900051169,0.4208285721667707,0.3451871915917505,1.018136394362508
MEX,Mexico,2024,1.04,0.4676564764306892,0.31553816007390395,0.2752189154137302,0.3342683300071534,0.2495499648030014,1.0115886954988718
MEX,Mexico,2025,1.04,0.4094831618178193,0.3472799669759914,0.19113394595236477,0.2648387015974547,0.17388714600757615,1.0080728537138817
MEX,Mexico,2026,1.04,0.36257000498973624,0.3726041318261322,0.12203033854624301,0.20915253679216073,0.1143868075733262,1.004710337047215
MEX,Mexico,2027,1.04,0.3214075005829091,0.3867149185186815,0.06553309294824039,0.16449207979381364,0.067964492353215,0.9876403372363675
MEX,Mexico,2028,1.04,0.29135286805339033,0.4026751016027381,0.01964371848045865,0.12867667835574625,0.0321243827950769,0.9849666925822794
MEX,Mexico,2029,1.04,0.26811271008683657,0.416214028521973,-0.0173194541514452,0.09995663729734461,0.004846964619167449,0.9849666925822795
MEX,Mexico,2030,1.04,0.24990534306124224,0.42681801433096317,-0.046771498656251576,0.076928049494151,-0.015501871175210014,0.9849666925822795
MMR,Myanmar,2020,-1.344,-1.2978916363939057,0.08729099497725086,-1.2306486721887377,-1.2814462896837382,-1.2344149988878197,-1.445056584815327
MMR,Myanmar,2021,-1.344,-1.2461750193832153,0.14935346018418458,-1.1288128271599223,-1.2230001854002404,-1.1361111458846782,-1.49677591908802
MMR,Myanmar,2022,-1.344,-1.1978636582121687,0.20415413503226043,-1.0366669116458855,-1.1678602555427342,-1.0469355401279525,-1.5399919255321022
MMR,Myanmar,2023,-1.344,-1.1335836084418829,0.2216533472596784,-0.9526747779380711,-1.1153834535080283,-0.9651461416070789,-1.5011300607143534
MMR,Myanmar,2024,-1.344,-1.0790979254160113,0.2467724417123664,-0.8755438043286949,-1.0650538164486612,-0.8893333622397204,-1.486460718646969
MMR,Myanmar,2025,-1.344,-1.0333578853368937,0.279114434251231,-0.8041862888538593,-1.016457350015484,-0.8183566205525372,-1.494431281925694
MMR,Myanmar,2026,-1.344,-0.9886234708294173,0.30714675476753844,-0.7376869632992501,-0.9692618765682463,-0.7512930043035579,-1.4962520391466148
MMR,Myanmar,2027,-1.344,-0.9455310731658135,0.3329654882937857,-0.6752756572211808,-0.9232008659359201,-0.6873957303595383,-1.4962520391466148
MMR,Myanmar,2028,-1.344,-0.9042153151243899,0.35765633655405205,-0.6163042955493585,-0.8780604616650308,-0.6260605321144714,-1.496435971168699
MMR,Myanmar,2029,-1.344,-0.8649953143135775,0.38246274181887985,-0.5602275427672393,-0.8336690712393668,-0.5667984615526888,-1.4992861816950147
MMR,Myanmar,2030,-1.344,-0.8262438981533641,0.4052765927687127,-0.5065865155768277,-0.7898890135595672,-0.5092138817820467,-1.4992861816950147
MNG,Mongolia,2020,-1.332,-1.1481039606152397,0.07834505257136264,-1.152245816298147,-1.061545615370255,-1.1067106071256565,-1.2719138036668998
MNG,Mongolia,2021,-1.332,-1.0021832202922418,0.15933639821643505,-0.9989263360718891,-0.8299497239346242,-0.9218823904167335,-1.2579744307457206
MNG,Mongolia,2022,-1.332,-0.8798285512891357,0.2313044503156604,-0.8678508570969761,-0.6291359744816652,-0.7697937154945921,-1.2525336580833097
MNG,Mongolia,2023,-1.332,-0.7600221935432965,0.26967674518951196,-0.7554930305491707,-0.4526241256922049,-0.6441965491738364,-1.187775068757974
MNG,Mongolia,2024,-1.332,-0.6351485024518234,0.27126603417860506,-0.6588855408415426,-0.2952146107748405,-0.5400352365540216,-1.046458621636889
MNG,Mongolia,2025,-1.332,-0.534146548766089,0.28763627414623205,-0.5755314819017481,-0.15273544083492002,-0.45321894685464975,-0.9551003254730384
MNG,Mongolia,2026,-1.332,-0.4614971220484889,0.32823411467492725,-0.5033297829971809,-0.021839127122826762,-0.38043754581928674,-0.9403820322546611
MNG,Mongolia,2027,-1.332,-0.379720224848227,0.34200528984985046,-0.4405124568285543,0.10016026294941283,-0.3190126071371078,-0.8595160983766587
MNG,Mongolia,2028,-1.332,-0.31529251254563934,0.3701201370834938,-0.38559179570381846,0.21541784756343996,-0.26677685693135866,-0.8242192451108201
