model,variable,beta,se,t,p,df,fmi,m_used,n_obs,n_ctry,r2_avg
M1_2wayFE_country_cluster,Rule of law index,-0.4042898061720831,0.21205389638138256,-1.9065426906608731,0.056579967385582686,2121530.39424292,0.0013731101157342792,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,Services,0.0018545788043704287,0.004170796558412851,0.44465817941409436,0.6567183907306053,634.6619941239388,0.07938871084205298,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,Trade (% of GDP),0.0002464710611281534,0.0008850028427327828,0.27849747958670984,0.7806322393572591,33097.58384272784,0.010993395441140369,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,Urban population (% of total population),-0.017931626860139754,0.0249966092718157,-0.7173623696377935,0.47315135998625446,202462.83291790885,0.004444852369812241,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,log_GFCF,0.05068482913182267,0.044234198966483736,1.145829026320259,0.2519087975757408,6392.009980214919,0.025015620134522774,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,log_HCI,0.12811531090803102,0.5056468764285013,0.2533691334413822,0.7999829906977725,3964354.729001131,0.001004485661101498,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,log_Pop,0.1200391511330646,0.14330358861868298,0.8376562812566907,0.402223915704238,1410758.083931417,0.0016838512431828923,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,post2019_x_base_metals_share,-0.2714765356198895,0.18873690300951038,-1.4383860882056008,0.1503246211598812,3748826.059521444,0.0010329572556891315,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,post2019_x_hydrocarbon_share,-0.13559138434331594,0.09515580521754356,-1.424940748841642,0.15417456180443767,1342061.052671111,0.0017264096668036634,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,post2019_x_ores_share,-0.3058469779174666,0.18936451581253175,-1.6151229632707476,0.10628407367298665,67826904.88238777,0.00024284490482920015,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,wide_resource_share,-0.43267549960319956,0.11514818450640799,-3.757553811707046,0.00017159520474230305,764913.6348080258,0.002286776889154702,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,Agriculture,-0.0025327525809250317,0.00593977498358165,-0.42640547628923753,0.6698446416209434,2847.676979315746,0.037478709931152605,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,Domestic credit to private sector (% of GDP),0.002217706353427483,0.0013303686070089958,1.6669863838815666,0.09553074759435698,22966.223846596957,0.01319730333558743,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,Government revenue,-0.008286952804056544,0.004016465975517033,-2.0632448661512135,0.039091124009191125,146755.20115217168,0.005220754177355721,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,Industry,-0.006081191581638128,0.004886284695121075,-1.2445430344470432,0.21367163644396836,784.0972765545445,0.07142414051097278,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,"Inflation, consumer prices (annual %)",0.0005995251501099007,0.0004686807316014028,1.279176014045691,0.20096248988664245,2329.3585151152733,0.04143924434702637,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,Manufacturing,0.014030026761341375,0.005041208696876613,2.7830680308938556,0.005387941277499975,31663.97523956658,0.011239507385678624,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,Political corruption index,-0.5587182601111084,0.23450889456218882,-2.3825034916231855,0.017195992610590904,297770.7285096905,0.0036651267130628764,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,Political stability — estimate,0.011551980565777152,0.028416508779094636,0.40652356894298275,0.6843585189094936,151066.2991615343,0.005145720591711301,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,"Primary net lending, General government, Percent of GDP",0.009319604448236835,0.003187892043412357,2.9234379086002615,0.0034645476759358473,29226.994379832835,0.011698708445183831,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,Real interest rate (%),0.0021623283729949026,0.0012812462133728337,1.6876759130492587,0.0916363270557341,1914.6639407029263,0.0457071051874451,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,Rule of law index,-0.4042898061720831,0.21800553070865036,-1.854493346374726,0.06366873531080808,2369923.226610882,0.0012991606474915482,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,Services,0.0018545788043704287,0.004221714450624754,0.4392951787859497,0.6605901120326578,666.2264736288205,0.07748525249983249,5,1861,73,0.15873484758733877
