model,variable,beta,se,t,p,df,fmi,m_used,n_obs,n_ctry,r2_avg
M1_2wayFE_country_cluster,Rule of law index,-0.34940668290027016,0.1857501172955811,-1.8810576703123425,0.05996454316307043,619155.7058513041,0.0025417337513010062,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,Services,0.001374092458847554,0.0036534327027269,0.37610996852958034,0.7074552793358233,128.5208588303875,0.1764181185553643,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,Trade (% of GDP),0.0009410379846115932,0.0008193143504495791,1.1485676823495417,0.250737372681034,89107.44544729673,0.006699972173290195,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,Urban population (% of total population),-0.09387117478237725,0.027564342363995915,-3.405529271940484,0.0006604511298644589,282600.15555244166,0.0037622166177962166,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,log_GDPpc,0.48628074470027044,0.09107549268550179,5.3393150051844955,9.329861128115624e-08,103537396.10805164,0.0001965537691622696,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,log_GFCF,-0.003558901629549034,0.04388070582230796,-0.081104019701975,0.935361724347366,6504.223105208353,0.02479889220048665,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,log_HCI,0.28791972800654697,0.46571408572952827,0.6182328102778525,0.5364219053261259,6915790.615687958,0.0007605172649420585,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,log_Pop,0.29824720700460794,0.14640295523258925,2.0371665758439432,0.04163347218739233,2187671.771638192,0.001352193718658035,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,post2019_x_base_metals_share,-0.09651639679552286,0.18266338427821963,-0.5283839296906713,0.5972329236180567,3398632.3319455413,0.0010848705085018942,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,post2019_x_coal_share,-0.37167621505205195,0.22850851456002716,-1.6265311415974213,0.10383758803261944,360554.58983780124,0.0033307687505152897,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,post2019_x_crude_oil_share,0.0023244942869459244,0.14965822622849814,0.01553201815580045,0.9876077529306249,254933.35330738785,0.0039611078424722345,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,post2019_x_gas_share,-0.025105581946398288,0.3217193229831631,-0.07803566697084019,0.937799691726529,1504089.594928698,0.001630771609930742,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,post2019_x_ores_share,-0.3797858746235431,0.2183505949895831,-1.739339774373693,0.0819750797089196,4754848.34589269,0.0009171949624011516,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,post2019_x_refined_oil_share,0.031363958847957146,0.11845509734100583,0.26477508821479667,0.791182854122499,435761.27680425387,0.0030297422154233404,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,wide_resource_share_net,-0.1347148018343487,0.055677518241646164,-2.419554715956853,0.015539524152032191,122317913.1072441,0.00018083603003452378,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,Agriculture,0.003247651571182878,0.005388700691116375,0.6026780400954248,0.5469028443636808,759.2877196180385,0.07258164514304218,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,Domestic credit to private sector (% of GDP),0.0006209454707180533,0.0011519375616912924,0.5390443817166372,0.5898856242156327,4082.5164731625982,0.03130156291199791,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,Government revenue,-0.008160505402870452,0.0033424462863969415,-2.4414769015382554,0.01463363790624772,27261.962689089625,0.012112992159802811,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,Industry,-0.01036173874662132,0.0046415834920199815,-2.2323715095151653,0.02671250425896199,197.68591226858868,0.14224667875442037,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,"Inflation, consumer prices (annual %)",0.0004291119358255012,0.0003919757962114317,1.0947408997519792,0.27396693415870965,782.6890300699089,0.07148836626884386,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,Manufacturing,0.016092377899380096,0.004293220415146984,3.7483232499790375,0.00018006589205810108,4912.457647631663,0.028535178006361125,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,Political corruption index,-0.5010500379758284,0.21967555739387035,-2.2808638517641895,0.022557505161099334,209223.0075011903,0.004372454263106613,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,Political stability — estimate,-0.001760314081824937,0.023409882226838846,-0.07519534121392464,0.9400593818128125,165695.3597166832,0.004913317423984014,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,"Primary net lending, General government, Percent of GDP",0.00766849923325105,0.0031230579501059894,2.4554457060237382,0.014085354318295273,11770.85621981239,0.01843427102220313,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,Real interest rate (%),0.0025138432370337654,0.0012934871241739186,1.943462126566759,0.05211148293922374,1854.1915043311876,0.0464464688949847,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,Rule of law index,-0.34940668290027016,0.18324204946912365,-1.9068040545963514,0.056546454325711704,586386.623597507,0.0026117882772703984,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,Services,0.001374092458847554,0.0038412742197335673,0.3577178769973006,0.7210347091895155,157.06174473582527,0.1595859991013448,5,1839,73,0.21437231368182186
