Country Code,Country Name,Cluster_aggregate,Cluster_1995,Cluster_2010,Cluster_2023,Stability_aggregate,Stability_1995,Stability_2010,Stability_2023,Resource_Rich,RR_k3_aggregate,RR_stability_k3_aggregate,RR_k3_1995,RR_stability_k3_1995,RR_k3_2010,RR_stability_k3_2010,RR_k3_2023,RR_stability_k3_2023,RR_k4_aggregate,RR_stability_k4_aggregate,RR_k4_1995,RR_stability_k4_1995,RR_k4_2010,RR_stability_k4_2010,RR_k4_2023,RR_stability_k4_2023,RR_k5_aggregate,RR_stability_k5_aggregate,RR_k5_1995,RR_stability_k5_1995,RR_k5_2010,RR_stability_k5_2010,RR_k5_2023,RR_stability_k5_2023
DJI,Djibouti,Mining Specialists,,,Mining Specialists,1.0,,,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,Unlabeled_1,Unlabeled_4,Unlabeled_3,Mining Specialists,1.0,1.0,1.0,1.0,True,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
EGY,"Egypt, Arab Rep.",Mining Specialists,Unlabeled_4,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,Eswatini,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,Mining Specialists,Unlabeled_0,Unlabeled_0,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
GAB,Gabon,Unlabeled_4,,Petrostates,Oil Exporters,1.0,,1.0,1.0,True,2.0,1.0,,,1.0,1.0,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0
GMB,"Gambia, The",Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Diverse Resource Exporters,,Unlabeled_4,Unlabeled_0,1.0,,1.0,1.0,True,0.0,1.0,,,2.0,1.0,0.0,1.0,0.0,1.0,,,2.0,1.0,2.0,1.0,0.0,1.0,,,4.0,1.0,0.0,1.0
GRD,Grenada,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Diverse Resource Exporters,Mining Specialists,,,1.0,1.0,,,True,0.0,1.0,0.0,1.0,,,,,0.0,1.0,0.0,1.0,,,,,0.0,1.0,4.0,1.0,,,,
GNB,Guinea-Bissau,Mining Specialists,,,,1.0,,,,False,,,,,,,,,,,,,,,,,,,,,,,,
