,beta,beta,beta,beta,beta,p,p,p,p,p,se,se,se,se,se
model,M1_2wayFE_country_cluster,M2_2wayFE_twoway_cluster,M3_parsim_interact,M4_pooled_OLS,M5_observed_only,M1_2wayFE_country_cluster,M2_2wayFE_twoway_cluster,M3_parsim_interact,M4_pooled_OLS,M5_observed_only,M1_2wayFE_country_cluster,M2_2wayFE_twoway_cluster,M3_parsim_interact,M4_pooled_OLS,M5_observed_only
variable,,,,,,,,,,,,,,,
log_GFCF,-0.003558901629549034,-0.003558901629549034,-0.04066287889414098,0.0011053583215143894,0.007914648427861087,0.935361724347366,0.93652275386336,0.377012439265493,0.98429701255467,0.9164952888590947,0.04388070582230796,0.044685172770707916,0.04602910203097903,0.05616073188551743,0.07547045560521926
log_GFCF_x_wide_share,,,0.0970554771758204,,,,,0.005405511253063544,,,,,0.03488920169416452,,
log_HCI,0.28791972800654697,0.28791972800654697,0.7667383141130504,0.6315775891782524,0.03997523997769518,0.5364219053261259,0.5367708046772606,0.09837174075462851,0.0741269518238108,0.9387814750749972,0.46571408572952827,0.46611313333183607,0.4639028882920976,0.3536607286419248,0.5203952880737894
log_HCI_x_wide_share,,,-0.26502943117787947,,,,,0.36258427753025746,,,,,0.2910966005512685,,
log_Pop,0.29824720700460794,0.29824720700460794,,0.1347142777826516,0.21592563767833467,0.04163347218739233,0.03747544717000828,,0.0005350889528410452,0.3575141903208845,0.14640295523258925,0.1433503303842023,,0.03890609442849243,0.23458575106895665
post2019_x_base_metals_share,-0.09651639679552286,-0.09651639679552286,-0.194608407776925,-0.05712732720928486,0.15308283022015964,0.5972329236180567,0.5702809360592784,0.2665707824449446,0.8721320114965052,0.1366797343762851,0.18266338427821963,0.17003163752608755,0.17516597425005645,0.35493617963797175,0.10279286477184763
post2019_x_coal_share,-0.37167621505205195,-0.37167621505205195,-0.6052650469332665,-0.9273630078335803,-0.5044982180024902,0.10383758803261944,0.08373951896203469,0.0034162694828649975,0.033215565556794724,0.09552467366640038,0.22850851456002716,0.21491690220314996,0.2067468649579833,0.43549038310380667,0.30241702307292084
post2019_x_crude_oil_share,0.0023244942869459244,0.0023244942869459244,0.0806032409611021,-0.0363436083779755,0.15438619922774408,0.9876077529306249,0.9865947223602647,0.45317162110510756,0.8502779439990191,0.19334524139436482,0.14965822622849814,0.1383476271595741,0.1074512224243918,0.19253472449277445,0.11862598984818863
post2019_x_gas_share,-0.025105581946398288,-0.025105581946398288,0.15932355919027158,-1.2054293600831132,-0.17574595901821569,0.937799691726529,0.9307676800460758,0.5902204199083143,0.17050507446305985,0.529441117764879,0.3217193229831631,0.28897168652526084,0.2958563006574591,0.8795013586188235,0.2793891292115518
post2019_x_ores_share,-0.3797858746235431,-0.3797858746235431,-0.36073247238108896,-0.4227185863603301,-0.4655242862227197,0.0819750797089196,0.05974090296161938,0.12863519089568842,0.27359459038989087,0.02392090392604329,0.2183505949895831,0.20172388216134698,0.23740115575431509,0.3861070977153313,0.20587666663613427
post2019_x_refined_oil_share,0.031363958847957146,0.031363958847957146,0.1176414810487842,0.5773559368283279,0.0010912550665768078,0.791182854122499,0.7894823961912096,0.24412855847026305,0.004656905119932997,0.9944331621098914,0.11845509734100583,0.11747549917731992,0.1010032567949364,0.20402311888372332,0.15637474057781858
wide_resource_share_net,-0.1347148018343487,-0.1347148018343487,-0.13707901323702065,-0.03413800946018798,-0.08985420861662628,0.015539524152032191,0.012368184124284198,0.04555820730001359,0.6674686761424087,0.10817349260980302,0.055677518241646164,0.05385443355251867,0.06855788844984606,0.07946007395004998,0.055892736447402155
