Country Code,Country Name,Total_NR,Adjusted_NR
KOR,"Korea, Rep.",0.1214530052203812,0.1060441558863425
KWT,Kuwait,39.8386703389064,39.83825507519228
LAO,Lao PDR,3.1045394180343795,1.6839614228459594
LBR,Liberia,14.2604895547102,0.0
LBY,Libya,34.4990280272661,34.44009293553891
LKA,Sri Lanka,0.0722571812304568,1.942890293094024e-16
LTU,Lithuania,0.3341824883188042,0.01687443938673322
MAR,Morocco,0.321780512925498,0.162824427132209
MDG,Madagascar,4.7078522848274,0.09327090558629969
MEX,Mexico,2.09126302062882,1.989144740335754
MKD,North Macedonia,0.1461722115393477,0.005419576337380688
MLI,Mali,7.85842877214771,5.69040949691232
MMR,Myanmar,5.88188183004994,4.0495812925159695
MNG,Mongolia,14.7739570464507,14.632834249555385
MOZ,Mozambique,12.6767242973038,6.06841944442082
MRT,Mauritania,2.61191416207025,1.3890539889564402
MWI,Malawi,4.24376277062568,0.01310020226229991
MYS,Malaysia,6.19635932474839,4.40652080371341
NAM,Namibia,1.43731396410693,0.814900879106458
NER,Niger,5.81263963543114,1.0703003034685192
NGA,Nigeria,8.35322267194456,7.375374641303761
NIC,Nicaragua,1.284859588294851,0.06325724315070103
NLD,Netherlands,0.2182674676398512,0.2136393410513639
NOR,Norway,6.26890345034754,6.224496352352228
NPL,Nepal,0.4461893446906622,0.0038213736882490856
NZL,New Zealand,1.503276578382379,0.49544344721728883
OMN,Oman,24.980029706013696,24.9784720871847
PAK,Pakistan,1.303404840048759,1.182421276831147
PAN,Panama,0.3161122960881304,0.2333739668530153
PER,Peru,2.49912146958912,2.379550312244892
PHL,Philippines,0.785300187414621,0.6166049236381861
PNG,Papua New Guinea,13.8152037166577,11.7436446701335
POL,Poland,0.671601200907606,0.491133716341825
PRT,Portugal,0.2214319535170048,0.11631672026215979
QAT,Qatar,22.373986666096805,22.37390706382455
ROU,Romania,0.7982521052623559,0.6267872534749659
RUS,Russian Federation,12.2071140110196,11.888485526639
RWA,Rwanda,3.81709032313618,0.03942782304149972
SAU,Saudi Arabia,25.453167735457995,25.452119324533484
SDN,Sudan,8.25976911220096,5.65975957604595
SEN,Senegal,2.75988310568798,1.1998974915651701
SRB,Serbia,1.19461693747908,0.808459160793066
SVK,Slovak Republic,0.2519894342090456,0.02024845673318673
SVN,Slovenia,0.2343713530399807,0.02225180226774079
SWE,Sweden,0.4047801115046621,0.19754857699408818
SWZ,Eswatini,3.2760764754406004,0.08041540489312027
TCD,Chad,19.6499588651766,15.57075954301376
TGO,Togo,4.32587635811955,1.32333207549458
THA,Thailand,1.5124249148551296,1.1788611676189995
TJK,Tajikistan,5.22368712777317,4.23718838985687
TTO,Trinidad and Tobago,11.0689882994292,11.011180580079348
TUN,Tunisia,2.2473922965236204,1.9699091172102994
TUR,Turkiye,0.3827798235290522,0.2854106220340084
TZA,Tanzania,3.5314504436748404,1.2407374023350806
UGA,Uganda,7.38833937837014,0.0
UKR,Ukraine,1.7317987003908302,1.4540324333448071
URY,Uruguay,1.7063278046772394,0.007349923346709364
USA,United States,0.5570981259055507,0.5188820185670028
UZB,Uzbekistan,10.8569985159248,10.85608532677602
VEN,"Venezuela, RB",20.891654202978444,20.77187672402464
VNM,Viet Nam,2.50068260501281,1.31695319515719
YEM,"Yemen, Rep.",4.87867391772049,4.823561530678817
ZAF,South Africa,4.18782227881945,3.542428563731985
ZMB,Zambia,7.91506539515975,2.2993660544671695
ZWE,Zimbabwe,4.71576545765887,2.7197134566455503
