Year,ClusterLabels,median,std,n,se
2005,Oil Exporters,-0.926,0.8635418483255596,15,0.2229655464878709
2005,Petrostates,0.2339999999999999,0.31345904266518043,7,0.11847638187092178
2006,Forestry Intensive,-0.626,0.7626661987850456,13,0.2115255450602072
2006,Major Producers,-0.052000000000000005,0.6267291103641012,10,0.19818914646815997
2006,Mining Exporters,-0.647,0.693464731138746,4,0.346732365569373
2006,Oil Exporters,-1.255,0.924729705682384,15,0.23876418332341062
2006,Petrostates,0.021,0.3183853609939346,7,0.12033835518192505
2007,Forestry Intensive,-0.581,0.7862244166479017,13,0.21805941909582868
2007,Major Producers,-0.158,0.7521822769633553,10,0.23786092108158027
2007,Mining Exporters,-0.6695,0.6568771447792451,4,0.32843857238962254
2007,Oil Exporters,-0.883,0.8559796281509998,15,0.22101298963477597
2007,Petrostates,-0.0779999999999999,0.3247791190801468,7,0.12275496858752873
2008,Forestry Intensive,-0.433,0.8187707405867808,13,0.22708614523348175
2008,Major Producers,-0.23399999999999993,0.7239789745258874,10,0.2289422537574826
2008,Mining Exporters,-0.3395,0.6044184532810581,4,0.30220922664052907
2008,Oil Exporters,-1.083,0.8675293051177552,15,0.22399510340453055
2008,Petrostates,-0.358,0.34540748882057165,7,0.1305517594855079
2009,Forestry Intensive,-0.251,0.8563668786035753,13,0.2375134378010951
2009,Major Producers,-0.39249999999999996,0.7941750156958828,10,0.2511401910398962
2009,Mining Exporters,-0.338,0.553622238835592,4,0.276811119417796
2009,Oil Exporters,-1.138,0.7522046517373036,15,0.19421840594122178
2009,Petrostates,-0.0759999999999999,0.3387857870746787,7,0.1280489914746972
2010,Forestry Intensive,-0.592,0.7042206730920759,13,0.19531567277501874
2010,Major Producers,-0.428,0.7671468134153548,10,0.24259312301327365
2010,Mining Exporters,-0.6485000000000001,0.6221722028506256,4,0.3110861014253128
2010,Oil Exporters,-1.036,0.8203361390018004,15,0.21180988030973769
2010,Petrostates,0.245,0.4266321042548866,7,0.1612517784535159
2011,Forestry Intensive,-0.487,0.5957681961885374,13,0.16523636766526625
2011,Major Producers,-0.359,0.7352103931679844,10,0.2324939401838728
2011,Mining Exporters,-0.7875,0.6374226096816251,4,0.31871130484081256
2011,Oil Exporters,-0.89,0.7747586598111575,15,0.20004182578523938
2011,Petrostates,-0.051,0.32490533419824946,7,0.1228026734181282
2012,Forestry Intensive,-0.745,0.6851037634305236,13,0.1900135960047772
2012,Major Producers,-0.239,0.7252550585828409,10,0.22934578696806268
2012,Mining Exporters,-0.7665,0.7091273980510601,4,0.35456369902553003
2012,Oil Exporters,-0.922,0.7456836620240005,15,0.19253469363719425
2012,Petrostates,-0.451,0.5537473637473527,7,0.209296830519017
2013,Forestry Intensive,-0.708,0.6321456846856321,13,0.175325667669026
2013,Major Producers,-0.24849999999999994,0.7513658969577414,10,0.2376027590561842
2013,Mining Exporters,-0.8414999999999999,0.7242020896591411,4,0.36210104482957056
2013,Oil Exporters,-1.112,0.8237369957062984,15,0.2126879777350283
2013,Petrostates,0.0619999999999999,0.5028906441762463,7,0.19007479730734572
2014,Forestry Intensive,-0.745,0.676207618701345,13,0.1875462493913155
2014,Major Producers,-0.10549999999999995,0.7694411319623845,10,0.24331865024193183
2014,Mining Exporters,-0.7815,0.7227689234234319,4,0.36138446171171595
2014,Oil Exporters,-1.151,0.9340005863157128,15,0.24115791440991458
2014,Petrostates,0.063,0.5061657925263318,7,0.1913126870275128
2015,Forestry Intensive,-0.743,0.6117975721027088,13,0.16968211664774568
2015,Major Producers,-0.2005,0.7636054827810846,10,0.2414732559380714
2015,Mining Exporters,-0.7715,0.568615496916267,4,0.2843077484581335
2015,Oil Exporters,-0.99,0.7614491634846207,15,0.19660532861063362
2015,Petrostates,0.152,0.5150646746260309,7,0.19467614831069685
2016,Forestry Intensive,-0.839,0.6450198367055,13,0.17889631499485306
2016,Major Producers,-0.2155,0.7640524996505295,10,0.24161461508406776
2016,Mining Exporters,-0.828,0.5534987955422005,4,0.27674939777110025
2016,Oil Exporters,-0.959,0.7935379968098267,15,0.20489062974848354
2016,Petrostates,0.121,0.4716929489564563,7,0.17828317687449532
2017,Forestry Intensive,-0.514,0.6812512338262176,13,0.18894509654104116
2017,Major Producers,-0.1555,0.7418525534842562,10,0.2345943757022131
2017,Mining Exporters,-0.7555000000000001,0.5691129794103569,4,0.28455648970517844
2017,Oil Exporters,-1.01,0.7863929285638561,15,0.20304578106020624
2017,Petrostates,-0.004,0.5887732201466918,7,0.22253535987469006
2018,Forestry Intensive,-0.53,0.6770557394771677,13,0.18778147577170126
2018,Major Producers,-0.17299999999999996,0.7297389868226096,10,0.23076372957830457
2018,Mining Exporters,-0.892,0.5473582008155171,4,0.27367910040775856
2018,Oil Exporters,-1.236,0.8382919425548483,15,0.2164460488516528
2018,Petrostates,0.0819999999999999,0.6289469657405827,7,0.23771960845689183
2019,Forestry Intensive,-0.705,0.6730794234385793,13,0.186678644128272
2019,Major Producers,-0.0675,0.7147585528616562,10,0.2260265004128695
2019,Mining Exporters,-0.803,0.6265625800083076,4,0.3132812900041538
2019,Oil Exporters,-1.184,0.8175706056592881,15,0.21109582267114227
2019,Petrostates,0.3330000000000001,0.6641853226751874,7,0.2510384554653907
