iter,feature,short,coef
13,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,-0.0
13,Share of investment in GDP,Investment Share,-0.0
13,Domestic credit to private sector (% of GDP),Domestic Credit,0.06923303775382117
13,Landlocked,Landlocked,-0.0
13,Urban population (% of total population),Urban Population,0.01544809687815637
13,Government revenue,Gov Revenue,-0.01845867501788481
13,Capital depreciation rate,Depreciation,-0.0052159411160026935
13,"Use of IMF credit (DOD, current US$)",IMF Credit,0.002969448932332497
13,Real interest rate (%),Real Rate,0.0
13,"Inflation, consumer prices (annual %)",Inflation,-0.0
13,Access to electricity (% of population),Electricity,0.043822650142022225
13,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.008477457036512455
13,L1_ECI,Lagged ECI,0.6263079501173155
13,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
13,HCI_x_ProductionValue,HC × Production,-0.0
13,GFCF_x_ProductionValue,GFCF × Production,-0.0
14,Total_Production_Value_Per_Capita,Production Value,-0.0
14,Human capital index,Human Capital,0.0
14,Rule of law index,Rule of Law,0.02366967446398122
14,Political stability — estimate,Political Stability,0.0
14,Trade (% of GDP),Trade,-0.0
14,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
14,Share of investment in GDP,Investment Share,0.0
14,Domestic credit to private sector (% of GDP),Domestic Credit,0.04499744067210902
14,Landlocked,Landlocked,-0.0
14,Urban population (% of total population),Urban Population,0.0
14,Government revenue,Gov Revenue,-0.0
14,Capital depreciation rate,Depreciation,-0.0
14,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
14,Real interest rate (%),Real Rate,0.0
14,"Inflation, consumer prices (annual %)",Inflation,-0.0
14,Access to electricity (% of population),Electricity,0.02763472611593334
14,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.012314050228254114
14,L1_ECI,Lagged ECI,0.6049405372244053
14,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
14,HCI_x_ProductionValue,HC × Production,0.0
14,GFCF_x_ProductionValue,GFCF × Production,-0.0
15,Total_Production_Value_Per_Capita,Production Value,-0.0
15,Human capital index,Human Capital,0.0
15,Rule of law index,Rule of Law,0.0
15,Political stability — estimate,Political Stability,-0.0
