Country Code,Country Name,Year,Last_Known_ECI,Ensemble,ECI_std,LASSO,Ridge,Elastic Net,RF
IRN,"Iran, Islamic Rep.",2027,0.004,-0.20705940987476856,0.14695882575969113,-0.057019813331086855,-0.4453061163841723,-0.12280635267302686,-0.20310535711078828
IRN,"Iran, Islamic Rep.",2028,0.004,-0.22387393089429955,0.16677507311319403,-0.05949867039856699,-0.4990191489869821,-0.13387254708086088,-0.20310535711078828
IRN,"Iran, Islamic Rep.",2029,0.004,-0.24032252855863562,0.18711746829260698,-0.061395318409139366,-0.5524949932199187,-0.1444762412701447,-0.20292356133533979
IRN,"Iran, Islamic Rep.",2030,0.004,-0.25648388001929523,0.20783155119398558,-0.06280671294509277,-0.6057798075700325,-0.15470863518940475,-0.20264036437265096
IRQ,Iraq,2020,-1.575,-1.4630282815554996,0.06601205347638887,-1.4153415791802006,-1.473668050235815,-1.3968260117358564,-1.5662774850701258
IRQ,Iraq,2021,-1.575,-1.3786260063587346,0.12264456680555867,-1.282917461314131,-1.4087032228963834,-1.2566058561542977,-1.5662774850701258
IRQ,Iraq,2022,-1.575,-1.314829940544456,0.16947391655191965,-1.1731923035214695,-1.3729945180636338,-1.146855455522594,-1.5662774850701258
IRQ,Iraq,2023,-1.575,-1.26814718375755,0.20949934355181313,-1.082386035971366,-1.3608505432715055,-1.061566509797663,-1.567785645989666
IRQ,Iraq,2024,-1.575,-1.2356194402535103,0.24486209550757027,-1.0073480858619042,-1.3677161095766788,-0.995915489521781,-1.571498076053678
IRQ,Iraq,2025,-1.575,-1.2132315100514641,0.27508405378940665,-0.9454525469468122,-1.3899454050916287,-0.9460300121137373,-1.571498076053678
IRQ,Iraq,2026,-1.575,-1.1998576549716349,0.30273149190926185,-0.8945108065363544,-1.4246204511145681,-0.9088012861819389,-1.571498076053678
IRQ,Iraq,2027,-1.575,-1.1938340348556802,0.32876661418862196,-0.8526987227699929,-1.4694058008460575,-0.8817335397529922,-1.5714980760536783
IRQ,Iraq,2028,-1.575,-1.1938123475333353,0.3539257748858256,-0.8184959290963632,-1.5224322453882817,-0.8628231395950181,-1.571498076053678
IRQ,Iraq,2029,-1.575,-1.2000483294114042,0.3800935713998337,-0.7906352464103121,-1.582203736145953,-0.850461546878873,-1.5768927882104782
IRQ,Iraq,2030,-1.575,-1.208565656678697,0.4045415204893028,-0.7680605196135217,-1.6475228888127598,-0.8433574089140072,-1.5753218093744994
JAM,Jamaica,2020,-0.24,-0.19638978351139652,0.021838695015995967,-0.217275802494657,-0.16068916262308308,-0.19719337094712241,-0.21040079798072361
