Country Code,Year,Bucket,prod_usd,Country Name,Population,"GDP per capita (constant prices, PPP)",prod_pc,prod_pct_gdp
MMR,2011,Natural Gas,4166456417.015607,Myanmar,49419820.0,2485.083222850666,84.30739765979736,3.392538200917369
MYS,2011,Natural Gas,22226979331.296085,Malaysia,29162039.0,48025.29489151863,762.1887938390071,1.5870569781209427
NGA,2011,Natural Gas,12092931079.864534,Nigeria,171379598.0,2226.6334768989072,70.56225607358779,3.16901083207739
NLD,2011,Natural Gas,23072238895.08132,Netherlands,16693074.0,52935.88618442111,1382.144408817772,2.6109781255055924
NOR,2011,Natural Gas,33299834349.99648,Norway,4953088.0,49100.85255832723,6723.045168992854,13.692318602831804
OMN,2011,Natural Gas,9006128132.442144,Oman,3076763.0,33293.15931946981,2927.143927706536,8.792028114900905
PAK,2011,Natural Gas,11732336175.670038,Pakistan,203746065.0,4106.168889587367,57.58313013637853,1.402356592842559
PER,2011,Natural Gas,3811400940.573433,Peru,29304086.0,6382.87109744687,130.0638054561208,2.037700643964844
POL,2011,Natural Gas,1486429843.8507962,Poland,38063255.0,49615.588871639935,39.05156939023728,0.07870826544307932
QAT,2011,Natural Gas,49916343563.072525,Qatar,1624761.0,69433.26969278594,30722.268421677112,44.2471866262538
ROU,2011,Natural Gas,3346272333.1127133,Romania,20147528.0,16956.928820789006,166.08848158010815,0.979472658848963
RUS,2011,Natural Gas,204779358244.8953,Russian Federation,143018195.0,23692.99634595235,1431.841299947152,6.043310348088431
SAU,2011,Natural Gas,29097746037.038548,Saudi Arabia,25091867.0,12310.399260974742,1159.6485043157031,9.420072247306477
SYR,2011,Natural Gas,2462512165.6883006,,,,,
THA,2011,Natural Gas,11222482426.607689,Thailand,69007208.0,19549.93087964161,162.62768414870067,0.8318581029769958
TKM,2011,Natural Gas,18694723426.14737,,,,,
TTO,2011,Natural Gas,12843024866.21577,Trinidad and Tobago,1328019.0,67007.75533503578,9670.814096948741,14.432380324628252
UKR,2011,Natural Gas,6488482913.932746,Ukraine,46307853.0,17532.8671557457,140.11625444895375,0.7991633838566797
USA,2011,Natural Gas,204955585571.45795,United States,311839461.0,47050.38887587283,657.2471133518857,1.396900491270792
UZB,2011,Natural Gas,18804833776.33266,Uzbekistan,28823196.0,6687.919698205744,652.4201471735702,9.755203061852008
VEN,2011,Natural Gas,10038119824.686666,"Venezuela, RB",29185212.0,11654.20455802296,343.94541402291907,2.951256023613735
VNM,2011,Natural Gas,2716723622.8312874,Viet Nam,88468314.0,15582.988501996506,30.70843672720255,0.19706384769050014
ARE,2012,Natural Gas,17597987859.766293,United Arab Emirates,7391448.0,47361.62109280858,2380.8579671758894,5.026977354745571
ARG,2012,Natural Gas,12196087268.897709,Argentina,42161721.0,24118.874,289.2691991604828,1.1993478599394103
AUS,2012,Natural Gas,19374093260.229782,Australia,22733465.0,47510.634,852.2279054349956,1.793762435237121
AZE,2012,Natural Gas,5596557571.226705,Azerbaijan,9295784.0,14116.062,602.0533148389318,4.265023168918724
