month,zone_class,trips,sum_fare,sum_pay,sum_cbd,fare_per_trip,pay_per_trip,cbd_fee_per_trip
2024-07-01,upper_manhattan,1428168,35062808.16,27174995.84,0.0,24.55089888584536,19.027870558645763,0.0
2024-08-01,airport,568516,36069670.08,26206508.6,0.0,63.44530335118097,46.09634311083593,0.0
2024-08-01,buffer,446310,14205425.16,9658431.27,0.0,31.828606036163205,21.64063379713652,0.0
2024-08-01,cbd,3425019,106545687.32,72846927.12,0.0,31.108057304207655,21.269057812526004,0.0
2024-08-01,outer_borough,8305000,181264396.7,148586994.29,0.0,21.82593578567128,17.89126963154726,0.0
2024-08-01,upper_manhattan,1402011,35355210.910000004,27042909.05,0.0,25.217498942590325,19.288656829368673,0.0
2024-09-01,airport,581212,37900285.510000005,27841788.880000003,0.0,65.2090554049125,47.90298355849501,0.0
2024-09-01,buffer,492303,16879087.5,11838680.17,0.0,34.285973272557754,24.04754829850722,0.0
2024-09-01,cbd,3731895,127617819.37,89113402.26,0.0,34.19651929381722,23.878861077281115,0.0
2024-09-01,outer_borough,8390783,185800862.04,154849676.79,0.0,22.1434474041338,18.45473500983162,0.0
2024-09-01,upper_manhattan,1464081,38442284.73,30159292.31,0.0,26.256938468568336,20.59946977660389,0.0
2024-10-01,airport,591345,38163854.46,27533686.880000003,0.0,64.53737574512341,46.56112232284031,0.0
2024-10-01,buffer,531804,18364808.99,12743260.28,0.0,34.53304034945205,23.96232499191431,0.0
2024-10-01,cbd,3825577,132264887.67,90940460.11,0.0,34.57384014751239,23.771697736053934,0.0
2024-10-01,outer_borough,8681339,186416976.17,155854989.57,0.0,21.473297629547698,17.95287450127221,0.0
2024-10-01,upper_manhattan,1556167,40217353.04,31450457.66,0.0,25.843854187886002,20.21020729780287,0.0
2024-11-01,airport,531214,33399294.03,25206669.77,0.0,62.873519956175855,47.45106448625224,0.0
2024-11-01,buffer,523059,17963136.990000002,12542978.17,0.0,34.342468038978396,23.9800446412355,0.0
2024-11-01,cbd,3729313,128486590.17999999,89577363.42999999,0.0,34.45315267986356,24.01980295834648,0.0
2024-11-01,outer_borough,8821857,185612532.36,159828783.35,0.0,21.040074936603485,18.117362744601277,0.0
2024-11-01,upper_manhattan,1563864,41260731.38,32499633.7,0.0,26.38383604968207,20.781624041476753,0.0
2024-12-01,airport,561220,36907205.099999994,27397691.96,0.0,65.76245518691421,48.818096218951574,0.0
2024-12-01,buffer,541573,20776280.08,14544884.629999999,0.0,38.36284319934708,26.85673885145677,0.0
2024-12-01,cbd,3778907,148003443.26,103481779.94,0.0,39.16567495839405,27.384050451625296,0.0
2024-12-01,outer_borough,9481754,202533560.87,173146711.16,0.0,21.360347554893327,18.261042330353646,0.0
2024-12-01,upper_manhattan,1616306,45032364.379999995,35569433.5,0.0,27.861286402451018,22.00662096162484,0.0
