month,operator,gini_trips_per_zone,top10_share,top3_share,airport_share,n_active_zones
2018-05-01,lyft,0.5344645772440826,0.16986466396602912,0.06537158509546168,0.045669860116285654,262
2018-06-01,lyft,0.5345584867031199,0.17146334478808706,0.06494692921136416,0.04561186024329374,262
2018-07-01,lyft,0.5479024561788497,0.17518127467494723,0.0651402124861139,0.046252100083179225,263
2018-08-01,lyft,0.544486955564218,0.17479569783434,0.06598893402881209,0.04739683485337271,262
2018-09-01,lyft,0.5552427874482724,0.17741298933810354,0.06448297639947156,0.0450684759581871,263
2018-10-01,lyft,0.5540265511259816,0.175100256223408,0.06329023765308761,0.04329117792247479,262
2018-11-01,lyft,0.5440194219003542,0.1722325277571482,0.06327825753095664,0.04402369104772797,262
2018-12-01,lyft,0.5389216397597425,0.16642629076548715,0.05753537030491701,0.03706044133440274,262
2019-01-01,lyft,0.54094474664077,0.16693975300274452,0.05966571296902875,0.0382784228697485,261
2019-02-01,lyft,0.533206696932583,0.16322062510026633,0.05646234389833833,0.034321195272662745,262
2019-03-01,lyft,0.5264586001410012,0.1646509742932049,0.057620502394128095,0.03722044521457943,262
2019-04-01,lyft,0.5252344968792719,0.16381071471020525,0.058495087650987945,0.039771663402156696,262
2019-05-01,lyft,0.5235072147489812,0.16452062529535735,0.06040349570944489,0.04149700160998399,262
2019-06-01,lyft,0.5192784505768493,0.16591603519677828,0.06164346375771357,0.04237461686657336,262
2019-07-01,lyft,0.5201345990261712,0.1672104979940648,0.06548416829610054,0.04660099204552114,261
2019-08-01,lyft,0.5195050099958047,0.16732192205699437,0.06656676968542857,0.047963930054274385,261
2019-09-01,lyft,0.5245761441880228,0.1669215582922867,0.06507223083401059,0.045770789679355856,262
2019-10-01,lyft,0.5226224533038466,0.16090809454020394,0.06290740916329515,0.04226920231236314,262
2019-11-01,lyft,0.5314440150243311,0.16191813893689283,0.061986360692319886,0.03977190617636749,262
2019-12-01,lyft,0.5203482747731456,0.15934353223456615,0.061691655628165726,0.04125686423286858,262
2020-01-01,lyft,0.5419812900624994,0.16354184426177548,0.0635465181077471,0.040704467799377336,261
2020-02-01,lyft,0.5616945043975177,0.16667115353192946,0.06258522707090332,0.03650980959613352,262
2020-03-01,lyft,0.5017967095520768,0.14064816034337158,0.052650205697551,0.030280229017687666,263
2020-04-01,lyft,0.48503447878321526,0.17216461608169809,0.06991826705238577,0.004917918511031334,260
2020-05-01,lyft,0.47712768900325697,0.16650888476060385,0.06651490916065354,0.005919280416150802,260
2020-06-01,lyft,0.46774803493504846,0.15837185650488803,0.06258308108886798,0.011067845925716342,260
2020-07-01,lyft,0.454374713102325,0.1479931493351721,0.059123131048873186,0.0120385718705126,261
2020-08-01,lyft,0.45562297750984704,0.14390365777288908,0.056453261430337486,0.011843877051068648,260
2020-09-01,lyft,0.45298299237017314,0.1373272081052635,0.05266725743552995,0.013080838294618778,261
2020-10-01,lyft,0.4616642065313976,0.13418622024567922,0.051245549251547916,0.012646833804408083,260
2020-11-01,lyft,0.45851339361637145,0.13388188820398395,0.05008585150432097,0.013386188522289452,262
2020-12-01,lyft,0.4387263761043061,0.13193779880639028,0.05057144609597023,0.014068344016551458,260
2021-01-01,lyft,0.45046760811854303,0.13459531275527484,0.05151270932334989,0.016775191870003058,262
2021-02-01,lyft,0.44556243139484697,0.1325210675844783,0.04960255478927486,0.01565597098197094,261
2021-03-01,lyft,0.44694203776203145,0.13050353800225303,0.048804518615890864,0.018325795399813712,262
2021-04-01,lyft,0.44800235500711705,0.13012481539140197,0.04676415958862549,0.023556334962625772,261
2021-05-01,lyft,0.4612818752274175,0.13475461212690582,0.0479082827542262,0.02828891444899082,262
2021-06-01,lyft,0.46985879161873534,0.13666406526177924,0.05070035099648617,0.027191603128640114,263
2021-07-01,lyft,0.46682088808809397,0.13641404003996027,0.04907487551320813,0.029436625795497655,260
2021-08-01,lyft,0.4684166605583706,0.1370869433255216,0.049710264733945145,0.03140636931869742,262
2021-09-01,lyft,0.47117026838773834,0.13521332941020686,0.04992225482870308,0.03163126562459208,262
2021-10-01,lyft,0.4813477919983826,0.13774105551608876,0.0505639874401759,0.030221710842586767,262
2021-11-01,lyft,0.46627316128759566,0.13506000714303262,0.049408101483974474,0.03354178201656503,261
2021-12-01,lyft,0.45252642284366695,0.13191910661958725,0.0478342445767905,0.03198679050606307,262
2022-01-01,lyft,0.4521736246379675,0.13149719408176783,0.04678934685700586,0.027705394840036247,261
2022-02-01,lyft,0.4644493048485343,0.13073456142865295,0.046415581914962666,0.025951271447633296,262
2022-03-01,lyft,0.46570785241744606,0.1336079303003873,0.04818370236989937,0.031185887516529273,262
2022-04-01,lyft,0.46734090725401,0.1369629070581425,0.05125205295962737,0.035439846600164235,262
2022-05-01,lyft,0.4614602061336237,0.13873916559752578,0.05501083311269512,0.0402309963430119,262
2022-06-01,lyft,0.46432717793850764,0.13968225524567665,0.0555732876842285,0.04029510291076289,262
2022-07-01,lyft,0.4621378706825201,0.13640687726071365,0.051056689224001306,0.035480991750371116,262
2022-08-01,lyft,0.45493882296399635,0.134823434483058,0.05165568607056663,0.03619085596729185,262
2022-09-01,lyft,0.4613179919596744,0.13639820254380775,0.053530107513512816,0.03794677297423887,262
2022-10-01,lyft,0.464542644835499,0.13619101873041112,0.051176324849262454,0.03614865298584609,261
2022-11-01,lyft,0.45716722458871684,0.13158369439993206,0.05006991464919365,0.034640380784516776,262
2022-12-01,lyft,0.44732007807904584,0.1279660316807705,0.046434631789387684,0.03076811150751856,262
2023-01-01,lyft,0.44739939991265487,0.13010898448045863,0.045885011394044745,0.02996590026177515,262
2023-02-01,lyft,0.4533369506539835,0.1311923900548522,0.04628096567838386,0.030110982627435307,262
2023-03-01,lyft,0.44846358098696704,0.13169878248346967,0.049307394765077055,0.03410009300071767,262
2023-04-01,lyft,0.45492180215222633,0.1351808688922634,0.052207825273649346,0.03790623056901199,262
2023-05-01,lyft,0.44905038418490917,0.13261924759292315,0.053464243085583604,0.0394148764401827,262
2023-06-01,lyft,0.45087802356561446,0.13187663842729647,0.051621295938333575,0.03740451219691675,262
2023-07-01,lyft,0.4564773698454878,0.13391487036339603,0.051652857469889304,0.03762156893152263,262
2023-08-01,lyft,0.4534150862941093,0.1361760374292816,0.057172973567090536,0.04325672170017884,262
2023-09-01,lyft,0.4624996314713985,0.13538724665301455,0.053000258654625154,0.038565098617250736,262
2023-10-01,lyft,0.45978354114584397,0.1336709323884358,0.05158164396519237,0.03681012653014435,261
2023-11-01,lyft,0.45198460336763,0.13180983907055654,0.05219723694218594,0.038561322320785185,261
2023-12-01,lyft,0.4461180325376435,0.1260361643247587,0.04625564343954096,0.032433198970858286,261
2024-01-01,lyft,0.4527717699782703,0.1288827233701244,0.04900100678905958,0.0353498849302243,262
2024-02-01,lyft,0.45798287333198817,0.12907128503739915,0.04679335998397899,0.03201401757878844,262
2024-03-01,lyft,0.4616772988914337,0.1319184358026332,0.049951162012752515,0.035159825882265024,262
2024-04-01,lyft,0.4584274133259967,0.13093511511316563,0.05059160513884639,0.036558125569308764,262
2024-05-01,lyft,0.45679441780353924,0.13224214156807854,0.052495458354398346,0.03906056511950546,262
2024-06-01,lyft,0.46374410852893355,0.1360510869615424,0.05300444970519724,0.0393368238258548,262
2024-07-01,lyft,0.4594800402258954,0.13487390184986955,0.053122868124615225,0.03967791773048596,262
2024-08-01,lyft,0.4609668958949251,0.1389007046144082,0.057206976957547985,0.04371381558174477,262
2024-09-01,lyft,0.46479837475086105,0.13866196794325367,0.0553970622690974,0.04137196406146014,262
2024-10-01,lyft,0.47587618160274503,0.13879451182777072,0.054410625780011004,0.03980602100567461,262
2024-11-01,lyft,0.47597275210403733,0.1341207300606195,0.04980751156367099,0.03445440404513012,262
2024-12-01,lyft,0.4723967882147888,0.13380610591358483,0.05208269437277302,0.03803481484184707,262
2025-01-01,lyft,0.47280375391481466,0.13086701128330092,0.046369564697792784,0.032040102424978324,262
2025-02-01,lyft,0.46967230166036167,0.12934009526530268,0.045969472362904315,0.030967204575881247,262
2025-03-01,lyft,0.4647080741187726,0.13472621770527948,0.0541493027945669,0.04024199652125837,262
2025-04-01,lyft,0.470785340792224,0.1344471701211907,0.05193585519258682,0.03840158786288038,262
2025-05-01,lyft,0.47113425019121746,0.13861556155521618,0.05597235124349036,0.04236336091518281,262
2025-06-01,lyft,0.4604739156424462,0.13349957939955154,0.05217474658582462,0.037648331845619956,262
2025-07-01,lyft,0.4598587135555685,0.13211035501497165,0.050778925381700486,0.03655256106583561,262
2025-08-01,lyft,0.4507081719628456,0.13284643105351696,0.05046657154757208,0.03550982968075196,262
2025-09-01,lyft,0.45604541420254185,0.13399505053939348,0.05475370871770992,0.040882744498301225,262
2025-10-01,lyft,0.4635873934226058,0.13492413145138904,0.05271585061177425,0.03977467916551002,262
2025-11-01,lyft,0.4581977990099688,0.1284065597385474,0.04726104066329793,0.03225596865700935,262
2025-12-01,lyft,0.4455765607857325,0.12402713364251826,0.04651572123429534,0.03079026132497052,262
2026-01-01,lyft,0.4479149581506523,0.1264489745745335,0.04498105272963792,0.030657263044426494,262
2026-02-01,lyft,0.4422533054679958,0.12590291544328863,0.04512564090336872,0.028567001815044978,262
2026-03-01,lyft,0.44369891785437976,0.12828271009328254,0.04779533727782029,0.03370800838925242,262
2026-04-01,lyft,0.43777769288306145,0.1230879482134834,0.0444412412588685,0.029572109042669804,262
