month,operator,cbd_share_of_city,buffer_share_of_manhattan,airport_share_of_city,outer_borough_share
2022-07-01,uber,0.2887221907078798,0.08582646054106757,0.036886850397397974,0.5381483494310286
2022-08-01,uber,0.281389488869615,0.08676988202600093,0.039546119345940774,0.5410282291042472
2022-09-01,uber,0.2966142561348223,0.08954530584039792,0.04098052607256929,0.5210239880876156
2022-10-01,uber,0.3006430291535271,0.09161058923075238,0.03746988752136338,0.5166575868519472
2022-11-01,uber,0.2903573013511891,0.09440315815964595,0.03839452745691074,0.5229719221079869
2022-12-01,uber,0.2948927858865013,0.09357563282662937,0.03383813282103353,0.524336186774861
2023-01-01,uber,0.28356104716287495,0.09238794112370685,0.03719916764051943,0.5328892173015012
2023-02-01,uber,0.2892081706404002,0.09047165604815814,0.032541065318733936,0.5313298817794732
2023-03-01,uber,0.2808929221755373,0.09040089641233158,0.03651590988962163,0.5391247913898993
2023-04-01,uber,0.2808416379552993,0.09070739947916502,0.03695917225751513,0.5353797917104611
2023-05-01,uber,0.2710532044419518,0.09281023217314953,0.04015287617747799,0.5432424241662118
2023-06-01,uber,0.27383039240083823,0.09223666769876253,0.03847799251008599,0.5463674754766628
2023-07-01,uber,0.2702178270401503,0.0875630794481459,0.0392391094832133,0.5545425335835026
2023-08-01,uber,0.2572540978973054,0.08788080316780963,0.040947901216900624,0.5661133198630532
2023-09-01,uber,0.275871958554992,0.09035951587051058,0.03924568825374669,0.5454498314860818
2023-10-01,uber,0.27526617640844464,0.0925856731963625,0.04048595890432346,0.5416753142210758
2023-11-01,uber,0.2668858658280067,0.09334431531515151,0.040066021612623536,0.5501354966500911
2023-12-01,uber,0.2652824488836029,0.09050833616923462,0.0355288557370697,0.5596084727363961
2024-01-01,uber,0.2628051656704955,0.0911970553006155,0.036897814218903174,0.5571787553570661
2024-02-01,uber,0.2607288893171202,0.08851810412484705,0.0340711047577833,0.5639303380309104
2024-03-01,uber,0.2505657510414505,0.08810438472615185,0.03574353981453402,0.5782610888544842
2024-04-01,uber,0.25280783455482597,0.09022710330055785,0.03888532154366244,0.5678766919294397
