month,borough,u,l,uber_share
2019-11-01,Staten Island,207966.0,45017.0,0.8220552369131523
2019-12-01,0,4500.0,1319.0,0.7733287506444406
2019-12-01,Bronx,2248955.0,408348.0,0.8463299066760547
2019-12-01,Brooklyn,4268741.0,1546900.0,0.7340104040122146
2019-12-01,Manhattan,6224680.0,2380064.0,0.7234009518470277
2019-12-01,Queens,3301696.0,1080859.0,0.7533724049099213
2019-12-01,Staten Island,215057.0,50496.0,0.8098458688096162
2020-01-01,0,3898.0,1011.0,0.7940517416989203
2020-01-01,Bronx,2073083.0,357130.0,0.8530458029810556
2020-01-01,Brooklyn,3891313.0,1430527.0,0.7311969168558243
2020-01-01,Manhattan,5568772.0,2506243.0,0.6896299263840376
2020-01-01,Queens,2989683.0,967025.0,0.755598593578298
2020-01-01,Staten Island,195322.0,43749.0,0.8170041535778074
2020-02-01,0,5404.0,1149.0,0.8246604608576225
2020-02-01,Bronx,2255443.0,339708.0,0.8690989464582215
2020-02-01,Brooklyn,4203422.0,1438966.0,0.7449721642680369
2020-02-01,Manhattan,6141245.0,2672083.0,0.6968133944407833
2020-02-01,Queens,3071538.0,877114.0,0.7778700174135376
2020-02-01,Staten Island,207081.0,38720.0,0.8424741966061977
2020-03-01,0,3189.0,802.0,0.7990478576797795
2020-03-01,Bronx,1774287.0,309701.0,0.8513902191375382
2020-03-01,Brooklyn,2779376.0,938945.0,0.747481457356694
2020-03-01,Manhattan,3270671.0,1374420.0,0.7041134393276687
2020-03-01,Queens,1958979.0,586963.0,0.76945154288668
2020-03-01,Staten Island,148199.0,30562.0,0.829034297190103
2020-04-01,0,1245.0,391.0,0.761002444987775
2020-04-01,Bronx,824508.0,221409.0,0.788311118377462
2020-04-01,Brooklyn,970418.0,398916.0,0.7086788175857752
2020-04-01,Manhattan,722939.0,279761.0,0.7209923207340182
2020-04-01,Queens,566572.0,235096.0,0.7067414440890742
2020-04-01,Staten Island,50810.0,19181.0,0.7259504793473447
2020-05-01,0,1830.0,543.0,0.7711757269279393
2020-05-01,Bronx,1097608.0,317857.0,0.7754398731159018
2020-05-01,Brooklyn,1361150.0,552039.0,0.7114561081001407
2020-05-01,Manhattan,1068785.0,410313.0,0.7225924178113958
2020-05-01,Queens,813854.0,328834.0,0.7122276596936347
2020-05-01,Staten Island,68569.0,27578.0,0.7131683775884843
2020-06-01,0,2092.0,822.0,0.7179135209334249
2020-06-01,Bronx,1105622.0,432997.0,0.7185807532599039
2020-06-01,Brooklyn,1586962.0,797842.0,0.6654475587930916
2020-06-01,Manhattan,1375671.0,599106.0,0.696620934920753
2020-06-01,Queens,1020914.0,471811.0,0.6839263762581855
2020-06-01,Staten Island,83689.0,31256.0,0.7280786463091043
2020-07-01,0,2836.0,1009.0,0.7375812743823147
2020-07-01,Bronx,1377222.0,457005.0,0.7508459967059693
2020-07-01,Brooklyn,2144632.0,921064.0,0.6995579470371491
2020-07-01,Manhattan,2114907.0,754435.0,0.7370703805959694
2020-07-01,Queens,1411357.0,572932.0,0.7112658488758442
2020-07-01,Staten Island,111994.0,36330.0,0.7550632399341981
2020-08-01,0,2788.0,1074.0,0.7219057483169342
2020-08-01,Bronx,1442677.0,462077.0,0.7574085682455582
2020-08-01,Brooklyn,2365875.0,1037120.0,0.6952331696050097
2020-08-01,Manhattan,2470135.0,956579.0,0.7208465602907042
2020-08-01,Queens,1547289.0,605898.0,0.7186040970895701
2020-08-01,Staten Island,116667.0,37692.0,0.7558159874059821
2020-09-01,0,2812.0,946.0,0.7482703565726451
2020-09-01,Bronx,1577259.0,421091.0,0.7892806565416468
2020-09-01,Brooklyn,2615360.0,1026756.0,0.7180880565034172
2020-09-01,Manhattan,2935510.0,1052305.0,0.7361199052614026
2020-09-01,Queens,1690124.0,602635.0,0.7371572851747611
2020-09-01,Staten Island,124139.0,40065.0,0.756004725828847
2020-10-01,0,2939.0,868.0,0.7719989493039139
2020-10-01,Bronx,1631365.0,410604.0,0.7989176133428079
2020-10-01,Brooklyn,2776454.0,1041546.0,0.7272011524358303
2020-10-01,Manhattan,3520806.0,1243935.0,0.7389291464111061
2020-10-01,Queens,1835164.0,609988.0,0.7505316642891731
2020-10-01,Staten Island,136107.0,42124.0,0.7636550319529151
2020-11-01,0,2566.0,930.0,0.7339816933638444
2020-11-01,Bronx,1439212.0,401137.0,0.7820321036933755
2020-11-01,Brooklyn,2429566.0,991512.0,0.7101755645442752
2020-11-01,Manhattan,2880189.0,1094220.0,0.724683594466498
2020-11-01,Queens,1600321.0,589716.0,0.7307278370182787
2020-11-01,Staten Island,115839.0,39727.0,0.7446292891762981
2020-12-01,0,2739.0,947.0,0.7430819316332067
2020-12-01,Bronx,1541681.0,424319.0,0.7841714140386572
2020-12-01,Brooklyn,2519504.0,968496.0,0.7223348623853211
2020-12-01,Manhattan,2717265.0,992947.0,0.7323745920718278
2020-12-01,Queens,1685606.0,622021.0,0.7304499383999233
2020-12-01,Staten Island,120259.0,41892.0,0.7416482167855888
2021-01-01,0,2595.0,1046.0,0.7127162867344137
2021-01-01,Bronx,1601952.0,440383.0,0.7843727889890738
2021-01-01,Brooklyn,2552543.0,994429.0,0.7196400197125886
2021-01-01,Manhattan,2835931.0,1023023.0,0.7348962957319523
2021-01-01,Queens,1684872.0,619224.0,0.7312507812174492
2021-01-01,Staten Island,126264.0,43064.0,0.74567702919777
2021-02-01,0,2572.0,1079.0,0.7044645302656807
2021-02-01,Bronx,1420051.0,428545.0,0.7681781200435357
2021-02-01,Brooklyn,2459862.0,1049139.0,0.7010149042419765
2021-02-01,Manhattan,2761891.0,1089250.0,0.7171617450516613
2021-02-01,Queens,1619177.0,652064.0,0.7129040907591929
2021-02-01,Staten Island,118642.0,43537.0,0.7315497074220461
2021-03-01,0,3026.0,1390.0,0.6852355072463768
2021-03-01,Bronx,1745831.0,540422.0,0.7636210865551625
2021-03-01,Brooklyn,2946348.0,1226500.0,0.7060760420700682
2021-03-01,Manhattan,3474596.0,1360047.0,0.7186871915878794
2021-03-01,Queens,1957088.0,792463.0,0.7117845786457498
2021-03-01,Staten Island,155378.0,57726.0,0.7291181770403183
2021-04-01,0,2975.0,1267.0,0.7013201320132013
2021-04-01,Bronx,1641443.0,482170.0,0.7729482725901565
2021-04-01,Brooklyn,2931229.0,1135960.0,0.7207014476091472
2021-04-01,Manhattan,3638998.0,1346281.0,0.7299487150067228
2021-04-01,Queens,1973985.0,780074.0,0.7167547971920718
2021-04-01,Staten Island,153828.0,53313.0,0.7426245890480397
2021-05-01,0,2931.0,1270.0,0.6976910259462032
2021-05-01,Bronx,1584463.0,444873.0,0.780779033141875
2021-05-01,Brooklyn,3033476.0,1137417.0,0.7272965285851255
2021-05-01,Manhattan,3999809.0,1411294.0,0.739185522803761
2021-05-01,Queens,2137765.0,799176.0,0.7278883028293724
2021-05-01,Staten Island,157587.0,50713.0,0.7565386461833894
2021-06-01,0,3190.0,1292.0,0.7117358322177599
2021-06-01,Bronx,1488837.0,463385.0,0.7626371386041136
2021-06-01,Brooklyn,2944633.0,1250818.0,0.7018632800144728
2021-06-01,Manhattan,4099647.0,1546927.0,0.726041489937084
2021-06-01,Queens,2156938.0,846877.0,0.7180661924918812
2021-06-01,Staten Island,157780.0,53437.0,0.7470042657551239
2021-07-01,0,2955.0,1463.0,0.6688546853779991
2021-07-01,Bronx,1489586.0,469021.0,0.760533379080132
2021-07-01,Brooklyn,2886769.0,1250225.0,0.6977938570856037
2021-07-01,Manhattan,4057411.0,1591880.0,0.7182159672780177
2021-07-01,Queens,2218082.0,895262.0,0.7124435976236484
2021-07-01,Staten Island,156018.0,56084.0,0.735580051107486
2021-08-01,0,2930.0,1352.0,0.6842596917328351
2021-08-01,Bronx,1420688.0,479985.0,0.7474657660733856
2021-08-01,Brooklyn,2761327.0,1240974.0,0.6899348649689266
2021-08-01,Manhattan,3799857.0,1573439.0,0.7071743302434855
2021-08-01,Queens,2163674.0,889485.0,0.7086673180138997
2021-08-01,Staten Island,149050.0,58016.0,0.7198188017347126
2021-09-01,0,3207.0,1310.0,0.7099845029887093
2021-09-01,Bronx,1381848.0,449832.0,0.7544156184486374
2021-09-01,Brooklyn,2685126.0,1220833.0,0.6874434677885763
2021-09-01,Manhattan,4293975.0,1642833.0,0.723280085864323
2021-09-01,Queens,2144549.0,900154.0,0.70435408642485
2021-09-01,Staten Island,145877.0,59209.0,0.711296724301025
2021-10-01,0,3363.0,1283.0,0.7238484718037022
2021-10-01,Bronx,1491614.0,435283.0,0.774101573669999
2021-10-01,Brooklyn,3076308.0,1267057.0,0.7082775681988505
2021-10-01,Manhattan,5122749.0,1794832.0,0.7405405155357053
2021-10-01,Queens,2337152.0,904225.0,0.7210367692496121
2021-10-01,Staten Island,160593.0,61623.0,0.722688735284588
2021-11-01,0,2674.0,1074.0,0.7134471718249733
2021-11-01,Bronx,1477661.0,451037.0,0.7661443108252303
2021-11-01,Brooklyn,2966824.0,1198860.0,0.712205726598561
2021-11-01,Manhattan,5008554.0,1635243.0,0.7538692106336181
2021-11-01,Queens,2313176.0,907173.0,0.7182997867622423
2021-11-01,Staten Island,154730.0,63017.0,0.7105953239309841
2021-12-01,0,2963.0,1330.0,0.6901933379920802
2021-12-01,Bronx,1548607.0,486919.0,0.7607895944340677
2021-12-01,Brooklyn,2976956.0,1219640.0,0.7093739783386345
2021-12-01,Manhattan,4861590.0,1565418.0,0.756431297424867
2021-12-01,Queens,2360779.0,950454.0,0.7129607007419895
2021-12-01,Staten Island,160511.0,67648.0,0.7035050118557673
2022-01-01,0,2862.0,1122.0,0.7183734939759037
2022-01-01,Bronx,1415717.0,458140.0,0.7555096253342705
2022-01-01,Brooklyn,2861514.0,1168852.0,0.7099886213807878
2022-01-01,Manhattan,4339553.0,1418648.0,0.7536299965909492
2022-01-01,Queens,2159712.0,854678.0,0.7164673449686337
2022-01-01,Staten Island,149851.0,60226.0,0.7133146417742066
2022-02-01,0,2300.0,1136.0,0.6693830034924331
2022-02-01,Bronx,1387397.0,526724.0,0.7248219940118729
2022-02-01,Brooklyn,2912182.0,1317487.0,0.6885129782023133
2022-02-01,Manhattan,4950471.0,1749505.0,0.7388789153871596
2022-02-01,Queens,2135509.0,956922.0,0.690559951054688
2022-02-01,Staten Island,148709.0,64654.0,0.6969765142034936
2022-03-01,0,2668.0,1257.0,0.6797452229299363
2022-03-01,Bronx,1613050.0,612057.0,0.724931430263803
2022-03-01,Brooklyn,3300781.0,1503086.0,0.6871091560195152
2022-03-01,Manhattan,5651130.0,2031745.0,0.735548866797911
2022-03-01,Queens,2499682.0,1138874.0,0.6869983586895461
2022-03-01,Staten Island,175040.0,72771.0,0.7063447546719073
2022-04-01,0,2968.0,1149.0,0.720913286373573
2022-04-01,Bronx,1565593.0,538476.0,0.7440787350604947
2022-04-01,Brooklyn,3231636.0,1338770.0,0.7070785396308337
2022-04-01,Manhattan,5634184.0,1788204.0,0.7590796924116605
2022-04-01,Queens,2515721.0,1047541.0,0.706016285078111
2022-04-01,Staten Island,168776.0,65034.0,0.7218510756597237
2022-05-01,0,3288.0,1450.0,0.6939636977627691
2022-05-01,Bronx,1550181.0,546168.0,0.7394670448479714
2022-05-01,Brooklyn,3296190.0,1357333.0,0.7083214158391395
2022-05-01,Manhattan,5752173.0,1771929.0,0.7644996040723531
2022-05-01,Queens,2663234.0,1126691.0,0.7027141698054711
2022-05-01,Staten Island,171329.0,70000.0,0.7099395431133432
2022-06-01,0,4370.0,1615.0,0.7301587301587301
2022-06-01,Bronx,1496408.0,538285.0,0.7354465759699375
2022-06-01,Brooklyn,3254437.0,1345901.0,0.7074343233040703
2022-06-01,Manhattan,5635406.0,1732689.0,0.7648389441232775
2022-06-01,Queens,2599294.0,1087748.0,0.7049808491468228
2022-06-01,Staten Island,167370.0,63618.0,0.7245830952257261
2022-07-01,0,3984.0,1653.0,0.7067589143161256
2022-07-01,Bronx,1443206.0,581457.0,0.7128129471423146
2022-07-01,Brooklyn,3147277.0,1385819.0,0.6942886274634378
2022-07-01,Manhattan,5357963.0,1784331.0,0.7501739637152993
2022-07-01,Queens,2570411.0,1112779.0,0.697876297448679
2022-07-01,Staten Island,161733.0,64447.0,0.7150632239809002
2022-08-01,0,3175.0,1393.0,0.6950525394045534
2022-08-01,Bronx,1460505.0,563835.0,0.7214721835264827
2022-08-01,Brooklyn,3127331.0,1318920.0,0.7033635752907337
2022-08-01,Manhattan,5256582.0,1665599.0,0.7593823391789379
2022-08-01,Queens,2600668.0,1113588.0,0.7001854476374273
2022-08-01,Staten Island,158288.0,65203.0,0.7082522338707151
2022-09-01,0,3253.0,1567.0,0.674896265560166
2022-09-01,Bronx,1423554.0,552661.0,0.7203436873012299
2022-09-01,Brooklyn,3125309.0,1372594.0,0.6948369051088918
2022-09-01,Manhattan,5664049.0,1797147.0,0.7591341924270586
2022-09-01,Queens,2624179.0,1148158.0,0.6956374788360636
2022-09-01,Staten Island,160041.0,64202.0,0.7136945188924515
2022-10-01,0,3042.0,1314.0,0.6983471074380165
2022-10-01,Bronx,1541821.0,588155.0,0.7238677806698292
2022-10-01,Brooklyn,3445065.0,1460705.0,0.7022475574680427
2022-10-01,Manhattan,6302743.0,1947855.0,0.763913476332261
2022-10-01,Queens,2740439.0,1183636.0,0.6983656020845677
2022-10-01,Staten Island,177485.0,68456.0,0.7216568201316576
2022-11-01,0,2741.0,1306.0,0.6772918211020509
2022-11-01,Bronx,1490594.0,601788.0,0.7123909496449501
2022-11-01,Brooklyn,3153245.0,1449214.0,0.6851218011936663
2022-11-01,Manhattan,5702055.0,1884088.0,0.7516408535931896
2022-11-01,Queens,2553499.0,1157448.0,0.6880990216243994
2022-11-01,Staten Island,168840.0,70580.0,0.7052042435886726
2022-12-01,0,3329.0,1564.0,0.6803596975270795
2022-12-01,Bronx,1627032.0,674930.0,0.7068022843122519
2022-12-01,Brooklyn,3368812.0,1632488.0,0.6735872673104992
2022-12-01,Manhattan,6204938.0,2008600.0,0.7554525224087354
2022-12-01,Queens,2740395.0,1311470.0,0.6763292952751387
2022-12-01,Staten Island,181245.0,85527.0,0.6794003868471954
2023-01-01,0,3115.0,1460.0,0.6808743169398908
2023-01-01,Bronx,1606637.0,591339.0,0.7309620305226263
2023-01-01,Brooklyn,3358657.0,1425929.0,0.7019744237014446
2023-01-01,Manhattan,5852950.0,1725849.0,0.7722793545520866
2023-01-01,Queens,2697330.0,1127008.0,0.705306382437954
2023-01-01,Staten Island,173282.0,76518.0,0.6936829463570857
2023-02-01,0,2971.0,1318.0,0.6927022615994405
2023-02-01,Bronx,1580882.0,552393.0,0.7410587008238506
2023-02-01,Brooklyn,3281084.0,1339432.0,0.710112030777515
2023-02-01,Manhattan,5806371.0,1720983.0,0.7713694613007439
2023-02-01,Queens,2549758.0,1036225.0,0.7110346033430722
2023-02-01,Staten Island,166241.0,71789.0,0.6984035625761459
2023-03-01,0,3296.0,1555.0,0.6794475365903937
2023-03-01,Bronx,1783801.0,722589.0,0.7117012914989287
2023-03-01,Brooklyn,3630137.0,1667593.0,0.6852249925911664
2023-03-01,Manhattan,6190901.0,2104959.0,0.7462639195936286
2023-03-01,Queens,2869703.0,1321950.0,0.6846232262069403
2023-03-01,Staten Island,191771.0,93134.0,0.6731050701110897
2023-04-01,0,3158.0,1419.0,0.6899715971160149
2023-04-01,Bronx,1676457.0,601708.0,0.7358804125249927
2023-04-01,Brooklyn,3479769.0,1425595.0,0.7093803844118398
2023-04-01,Manhattan,6001517.0,1897527.0,0.7597776389142787
2023-04-01,Queens,2776521.0,1181118.0,0.7015599452097576
2023-04-01,Staten Island,175276.0,82332.0,0.6803981242818546
2023-05-01,0,3472.0,1722.0,0.6684636118598383
2023-05-01,Bronx,1715909.0,653134.0,0.724304708694608
2023-05-01,Brooklyn,3583926.0,1533621.0,0.7003210717947486
2023-05-01,Manhattan,5963308.0,2037974.0,0.7452940666258232
2023-05-01,Queens,2940536.0,1301923.0,0.6931206642185581
2023-05-01,Staten Island,189813.0,91262.0,0.6753108600907232
2023-06-01,0,3971.0,1889.0,0.6776450511945392
2023-06-01,Bronx,1627603.0,637211.0,0.7186475357358264
2023-06-01,Brooklyn,3528848.0,1539248.0,0.6962867317430451
2023-06-01,Manhattan,5748820.0,2034752.0,0.7385837761891327
2023-06-01,Queens,2842600.0,1301845.0,0.6858819455922325
2023-06-01,Staten Island,178351.0,90765.0,0.6627290833692534
2023-07-01,0,3630.0,1819.0,0.6661772802349055
2023-07-01,Bronx,1676436.0,602824.0,0.7355176680150575
2023-07-01,Brooklyn,3477015.0,1467191.0,0.7032504309084209
2023-07-01,Manhattan,5593145.0,2014533.0,0.7351973887433195
2023-07-01,Queens,2920058.0,1271360.0,0.6966754449210267
2023-07-01,Staten Island,183326.0,91773.0,0.6664000959654525
2023-08-01,0,3578.0,1748.0,0.6717987232444611
2023-08-01,Bronx,1660150.0,586210.0,0.7390400470093841
2023-08-01,Brooklyn,3371109.0,1388801.0,0.7082295673657695
2023-08-01,Manhattan,5178594.0,1902480.0,0.7313288916342352
2023-08-01,Queens,2870854.0,1258948.0,0.6951553609591937
2023-08-01,Staten Island,177522.0,89082.0,0.6658639780348382
2023-09-01,0,4043.0,1822.0,0.6893435635123615
2023-09-01,Bronx,1683337.0,577461.0,0.7445764725552659
2023-09-01,Brooklyn,3583717.0,1511358.0,0.7033688414792717
2023-09-01,Manhattan,5958819.0,2148405.0,0.7350011545258895
2023-09-01,Queens,3019281.0,1258793.0,0.705757076665808
2023-09-01,Staten Island,183939.0,90140.0,0.6711167218210807
2023-10-01,0,3497.0,1661.0,0.6779759596742924
2023-10-01,Bronx,1715787.0,604637.0,0.7394282251864315
2023-10-01,Brooklyn,3571070.0,1592633.0,0.6915715330645469
2023-10-01,Manhattan,6021720.0,2254216.0,0.7276179999458672
