month,trips,mean_driver_pay,driver_pay_per_mile,driver_pay_per_hour,operator_margin_share,mean_base_fare
2021-09-01,10557442,20.351558176687117,4.1029833259950905,62.89677251731817,0.15980033010103267,24.222287755878746
2021-10-01,12086389,19.51027432097378,4.048799146891557,60.700619370179,0.13320261906454778,22.508460166225
2021-11-01,11819597,18.92991351397175,3.813646813977524,58.58733480626458,0.16642170625830055,22.709220784769567
2021-12-01,11802074,18.082858193398888,3.6649799064299864,58.076020463374014,0.18713455486681618,22.245819774558267
2022-01-01,10826336,15.924703812074554,3.471898339862083,56.519794436500604,0.19164588561524654,19.70015804793053
2022-02-01,11440898,16.709255967494858,3.539272062475477,54.584066821691785,0.21985023581456797,21.418010662274938
2022-03-01,13136268,18.58269954982648,3.7431074614208852,58.84987640158486,0.19054872065425343,22.95715631562937
2022-04-01,13010980,19.560845850197293,3.836594317508484,60.558486532995346,0.20270847542508763,24.534119888740126
2022-05-01,13325434,20.830129314362292,4.007236785558691,62.02069976929151,0.19962425179276055,26.02543787842107
2022-06-01,13049858,20.477510061795307,3.9612644522593463,60.704822114899166,0.19670618796887196,25.491930542845754
2022-07-01,12575713,19.18376014067751,3.686013061859281,60.24179623697925,0.21384721288481856,24.402076104154094
2022-08-01,12500703,18.89650938431223,3.605418337725025,58.33832039222896,0.22667764118236167,24.435488213742858
2022-09-01,12902315,21.032578081530332,3.9679352975775735,60.38792841752304,0.1991495319582942,26.26280300860737
2022-10-01,14102892,20.199762351580087,3.944907565882667,60.46431363915286,0.18545251348063208,24.798753523745344
2022-11-01,12968005,19.271641725924688,3.802868932642109,58.463739060404556,0.21306257791875105,24.48942086774334
2022-12-01,14007908,19.661312615702503,3.927807889230553,59.88983985665793,0.22487171527411054,25.365236959009156
2023-01-01,13580152,17.448637554277745,3.5446659984306943,57.065918895235896,0.2048050155654253,21.94259005127483
2023-02-01,13280939,18.106939641090136,3.756375866277687,58.78829331074045,0.202675325879223,22.709619090939277
2023-03-01,14553368,19.27564286493683,3.9040631497964093,60.054305749709236,0.20522597285409827,24.252985385238663
2023-04-01,13998413,19.973114845232814,3.9863988039167517,61.86334270567003,0.20157124944537674,25.015525594937085
2023-05-01,14277828,20.712805159160062,4.044815672826419,60.69606678579171,0.20970989913423232,26.20911629345864
2023-06-01,13811993,20.26711005211196,3.9579948495184927,60.316029608562204,0.225999605967533,26.184883377800727
2023-07-01,13731861,19.49274315622624,3.7749597317589023,59.83144141915866,0.21293028642363288,24.766221873349867
2023-08-01,13143169,19.626145305595628,3.7179669799606896,59.177411264397655,0.21162555413274076,24.89444629830142
2023-09-01,14311606,21.49921364939756,4.15164734952867,60.70677388987431,0.201255975985574,26.916274805217526
2023-10-01,14375602,20.72920296833482,3.9989876018912396,59.3635527260624,0.22854727700141053,26.870347787174406
2023-11-01,13788773,20.103096052128787,3.9416527706488482,58.79883844590671,0.23033087977474276,26.119140711069793
2023-12-01,14273626,20.662328371221157,4.046510257723068,60.94901073587277,0.23889253529319587,27.147714783195244
2024-01-01,14432755,18.529762256755554,3.7821131565818074,59.72111212774872,0.23868893114419132,24.339278666477746
2024-02-01,14409305,19.350153282202022,3.893433393836684,60.39636788074661,0.2114166942767599,24.53786827817164
