month,borough,pay,seconds,tips,fare,trips,pay_per_hour,pay_per_trip,tip_share,margin_share
2019-06-01,Queens,54215230.8,3434373829.0,2063004.02,59409581.78,2747702,56.82981544756,19.731117421030373,0.03665722684086132,0.08743288244706449
2019-06-01,Staten Island,2743909.34,170023961.0,108858.05,2940624.08,182181,58.098126675216086,15.061446254000142,0.03815875433152649,0.06689557544533209
2019-07-01,Bronx,21789097.29,1652456899.0,306703.56,21594708.55,1841709,47.46916563540578,11.83091209849113,0.013880626553529063,-0.009001683887046363
2019-07-01,Brooklyn,47122112.69,3648380375.0,1246886.19,50660712.54,3541512,46.49723664956399,13.30564817795337,0.025778623061714277,0.06984899486374263
2019-07-01,Manhattan,101098372.94,6793498355.0,4146354.2,109971701.21,5825392,53.57389132450891,17.354775942975166,0.039397263052279884,0.08068737841070261
2019-07-01,Queens,49543183.17,3185155040.0,1857252.08,52940294.56,2692792,55.995848607733706,18.398444131592786,0.0361330029788026,0.06416872853153233
2019-07-01,Staten Island,2575658.35,161406497.0,102110.64,2673078.22,181191,57.44731613870537,14.215156105987605,0.038132729291185045,0.0364448257709421
2019-08-01,Bronx,18437535.33,1626781950.0,264248.86,18810219.46,1801098,40.801489829660326,10.23683071659621,0.014129606957035473,0.01981285390064247
2019-08-01,Brooklyn,40491027.43,3647371678.0,1087497.57,44235539.81,3525259,39.96513424371663,11.485972358343032,0.026155270539298836,0.08464941076978805
2019-08-01,Manhattan,86474448.3,6648204969.0,3543612.66,94397052.27,5704363,46.82587485367887,15.159352288765634,0.03936557422154009,0.08392851026046133
2019-08-01,Queens,45205554.12,3318776733.0,1746942.2200000002,49263880.48,2750411,49.036138289691934,16.43592689238081,0.03720658870509803,0.08237934812397874
2019-08-01,Staten Island,2240421.85,163104770.0,88793.43000000001,2334839.9,183654,49.44992510028983,12.199145403857253,0.03812160720498107,0.040438768414056914
2019-09-01,Bronx,21005407.03,1605692135.0,301646.04,21724554.3,1716005,47.09462272355218,12.240877520753145,0.014157098074942748,0.03310297003423446
2019-09-01,Brooklyn,48844835.99,3794306124.0,1335547.8,54164550.41,3539254,46.34349570577769,13.80088459036848,0.02661493793250241,0.09821394952477724
2019-09-01,Manhattan,107021802.63,7340263179.0,4490450.15,122107823.25,5927003,52.48837542640921,18.056647285314348,0.040268670375255604,0.12354671648771698
2019-09-01,Queens,50057560.339999996,3335166300.0,1990377.25,56660093.47,2636157,54.03245326147604,18.988838805882956,0.03824123187510147,0.11652880759005224
2019-09-01,Staten Island,2561763.57,166969153.0,102663.69,2787841.48,182186,55.23384820668043,14.061253718727015,0.038531241419591244,0.08109424858690317
2019-10-01,Bronx,20756958.52,1612421583.0,318150.14,21623669.44,1772604,46.34337040624939,11.709867810294911,0.015096014219079239,0.04008158385906224
2019-10-01,Brooklyn,46933225.18,3700041799.0,1417676.29,53685847.41,3606903,45.66424376439862,13.012056376342807,0.02932057618159648,0.12578030441486887
2019-10-01,Manhattan,105707976.37,7637454993.0,5034446.47,128366339.36,6233226,49.82663927719201,16.958790900570587,0.04546086622354053,0.17651327523218696
2019-10-01,Queens,47839708.87,3318026392.0,2094739.78,56314772.3,2740368,51.905238712760664,17.45740311885119,0.04194979291115093,0.1504944987587209
2019-10-01,Staten Island,2512480.63,170741755.0,107841.37,2844961.29,192362,52.9743311353453,13.061210790072883,0.041155770168704454,0.11686649697789042
2019-11-01,Bronx,24895543.38,1866981678.0,336763.6,22871481.13,2101307,48.00473257134985,11.84764690737717,0.01334652436921168,-0.08849720918795612
2019-11-01,Brooklyn,53276170.54,4143946510.0,1511018.05,55698272.28,4114816,46.282984947119886,12.94740045241391,0.027579769812751405,0.04348611978166739
2019-11-01,Manhattan,104881153.36,7481513618.0,4935074.61,123945221.17,6273307,50.46734810287423,16.718638727548324,0.044939392849553915,0.1538104303662683
2019-11-01,Queens,48834949.66,3383400517.0,2024483.78,54598879.34,2955695,51.96127916061319,16.522323737733426,0.03980547251648661,0.10556864444243752
2019-11-01,Staten Island,2693166.63,180335465.0,112002.69,2827303.97,207966,53.76313454483287,12.950033322754681,0.03992724760015556,0.047443550967036785
2019-12-01,Bronx,27189702.83,1947096469.0,374498.31,25869516.73,2248955,50.27122782379202,12.089927468535386,0.013586401728020479,-0.05103249951588862
2019-12-01,Brooklyn,57042672.26,4230750269.0,1652052.18,61838954.51,4268741,48.538345938470705,13.362879654680384,0.028146519057071155,0.07756085606564378
2019-12-01,Manhattan,114417117.07,7503961972.0,5771138.07,140000878.08,6224680,54.89121919713268,18.381204667549174,0.0480174877593285,0.1827400039261241
2019-12-01,Queens,53184462.980000004,3644604839.0,2227936.43,60943615.02,3196426,52.53355992923874,16.638728060652742,0.040206460173567854,0.1273168983732531
2019-12-01,Staten Island,2784265.25,185253899.0,123418.67,3033930.76,215057,54.106040164909025,12.946638565589588,0.042445696779861826,0.08229110343968427
2020-01-01,Bronx,23555166.49,1729594698.0,317467.55,23750980.33,2073083,49.02801764023446,11.362384665736972,0.013298387998076144,0.008244452956439274
2020-01-01,Brooklyn,47502242.96,3646999535.0,1377167.0,54323927.08,3891313,46.89007306275953,12.20725317135887,0.02817478773019133,0.12557420802723007
2020-01-01,Manhattan,85643716.04,5990907977.0,4282925.34,109261177.44,5568772,51.46421526214006,15.379282190041181,0.04762687980196864,0.21615602131845368
2020-01-01,Queens,46476693.88,3081490490.0,1942486.99,55607452.35,2896649,54.29713267361082,16.044986423967835,0.040118129945555185,0.16420026604581528
2020-01-01,Staten Island,2338565.61,154369869.0,104360.86,2634455.74,195322,54.53678396267862,11.972873562629912,0.042719607520565285,0.11231546824164917
2020-02-01,Bronx,26680821.07,1936930656.0,334032.27,24618166.86,2255443,49.58925894144142,11.829525760571205,0.012364763406115165,-0.08378585707579367
2020-02-01,Brooklyn,53653194.76,4059703956.0,1427556.47,56350325.65,4203422,47.57773060041327,12.764170421147341,0.02591751997061497,0.04786362561154078
2020-02-01,Manhattan,97337994.0,6828094469.0,4366256.15,111775321.31,6141245,51.31984918939176,15.849879625385407,0.042930911378436624,0.12916381846006253
2020-02-01,Queens,47695308.26,3191414575.0,1877092.44,53195410.550000004,2977856,53.80156845840061,16.01666039593587,0.037865675526987344,0.1033943009957653
2020-02-01,Staten Island,2508273.18,165730884.0,103194.9,2637534.52,207081,54.484615239245336,12.112522056586554,0.0395160487659493,0.04900839743322105
2020-03-01,Bronx,21042497.81,1450848412.0,242611.41,20582281.61,1774287,52.212892463089375,11.859692265118326,0.011398175479975292,-0.02235982427606098
2020-03-01,Brooklyn,36211225.14,2625045676.0,868035.31,38583408.28,2779376,49.66024465625337,13.028544946779421,0.023410264915356475,0.06148194899696402
2020-03-01,Manhattan,52465674.96,3526179409.0,2230862.82,60610802.3,3270671,53.56404423834012,16.041257271061504,0.0407861797207889,0.13438408717450678
2020-03-01,Queens,28519292.69,1871852161.0,953323.27,32140869.66,1893699,54.84912527982492,15.060098088450172,0.032346069018571094,0.11267825072285242
2020-03-01,Staten Island,1782939.89,114144217.0,65730.53,1897089.27,148199,56.23222772643839,12.030714714674188,0.03555556971588262,0.06017080050218204
2020-04-01,Bronx,9181159.12,591808449.0,130902.57,11676536.87,824508,55.84944400143229,11.135318420197256,0.014057313445482555,0.2137087201267066
2020-04-01,Brooklyn,12010740.84,804624162.0,305685.01,15190075.99,970418,53.737718882968366,12.376873512239056,0.02481929528281129,0.2093034394359209
2020-04-01,Manhattan,9787374.32,611159965.0,502686.61,12711005.35,722939,57.65192350582061,13.538312803708196,0.048851665060062964,0.23000785142459246
2020-04-01,Queens,7006323.91,443678054.0,240090.09,9409883.87,544134,56.84925330113353,12.876100206934321,0.03313226238522944,0.2554292904360784
2020-04-01,Staten Island,625018.5700000001,36626362.0,25744.37,772699.93,50810,61.43298785721607,12.301093682345996,0.03956028903551268,0.19112381697769787
2020-05-01,Bronx,12842245.6,861795526.0,211745.46,16683097.0,1097608,53.64623366587308,11.700211368721803,0.016220744983411993,0.23022412445363116
2020-05-01,Brooklyn,17778116.77,1243160094.0,519297.87,22689518.87,1361150,51.48268568215478,13.061100371009807,0.028380942347164297,0.21646127130945203
2020-05-01,Manhattan,15219025.78,986480519.0,827243.23,20004169.59,1068785,55.53935607723845,14.239557796937644,0.05155361844454084,0.2392073206773888
2020-05-01,Queens,10655774.26,686315268.0,367254.24,14188377.23,778908,55.893827697856196,13.680401613541008,0.0333169999515106,0.24897864729242192
2020-05-01,Staten Island,897448.9299999999,53186186.0,40967.66,1108708.72,68569,60.74540009317457,13.088260438390526,0.04365615488532657,0.19054579998252386
2020-06-01,Bronx,15102225.71,926807829.0,232970.91,18863163.38,1105622,58.66158102555261,13.659483720475896,0.015191908899046121,0.19938000823274415
2020-06-01,Brooklyn,24087022.0,1559119534.0,707218.1799999999,29743481.93,1586962,55.61682559228329,15.178071056521832,0.028523486699562978,0.19017477319273624
2020-06-01,Manhattan,23103775.009999998,1365700862.0,1193426.01,29159603.73,1375671,60.901762860569974,16.794549721554063,0.04911783908844658,0.20767870428121216
2020-06-01,Queens,15438503.14,931388324.0,518284.83999999997,19641927.85,980486,59.67286670001244,15.74576601807675,0.03248052431664884,0.21400265503979032
2020-06-01,Staten Island,1222348.9000000001,68697683.0,51953.3,1464237.25,83689,64.05537782111226,14.605849036313018,0.04076999945538821,0.16519751153715
2020-07-01,Bronx,19969348.95,1150413832.0,244863.0,23182273.39,1377222,62.49025717555871,14.499731306935265,0.01211340816083607,0.1385940190570758
2020-07-01,Brooklyn,33612245.61,2073665357.0,841359.83,39305000.17,2144632,58.35275387493489,15.672733415336523,0.02442008083784453,0.14483537807856472
2020-07-01,Manhattan,35457622.56,2040900104.0,1481934.56,41969841.46,2114907,62.54467867673743,16.76557057118824,0.04011782153169464,0.15516424826637876
2020-07-01,Queens,22249169.73,1283339359.0,619467.84,26743087.96,1357073,62.41296229737158,16.394968973666117,0.02708809556773259,0.16804036380247545
2020-07-01,Staten Island,1666890.05,89662122.0,63319.56,1947874.73,111994,66.9268588133571,14.883744218440274,0.03659646763839209,0.1442519252765294
2020-08-01,Bronx,19459524.419999998,1273631065.0,198739.97,22697433.73,1442677,55.00359549725649,13.488483160125238,0.010109741432773559,0.1426553040540589
2020-08-01,Brooklyn,34914102.22,2430397594.0,671777.12,40833020.81,2365875,51.71613414294715,14.757374003275743,0.0188776315903734,0.14495421775286488
2020-08-01,Manhattan,38479933.67,2519319703.0,1206608.97,45935088.1,2470135,54.98617783485021,15.578069081244548,0.030403479107395482,0.16229759729142657
2020-08-01,Queens,23619614.7,1494624934.0,540061.5,28301710.84,1488001,56.89093697402482,15.873386308208126,0.02235383850053421,0.1654350921210953
2020-08-01,Staten Island,1646813.99,97935729.0,54740.09,1955708.12,116667,60.53490819474065,14.115508155690984,0.03217064367416403,0.15794490335296052
2020-09-01,Bronx,21418764.22,1486403678.0,248460.24,24088291.5,1577259,51.87524246155693,13.5797381533407,0.011467100479744604,0.11082260773870167
2020-09-01,Brooklyn,38868370.9,2850006828.0,903398.96,44627398.43,2615360,49.09677193236535,14.861575806007586,0.022714577781678836,0.12904690240981187
2020-09-01,Manhattan,45281993.04,3119574232.0,1725508.22,54541363.86,2935510,52.25558451913768,15.425596587986414,0.03670708235386005,0.1697678635937213
2020-09-01,Queens,25758318.82,1720878764.0,660592.66,29930347.23,1625158,53.885229855738984,15.84973203836181,0.025004537393604986,0.1393912465478604
2020-09-01,Staten Island,1823898.59,109604969.0,61779.48,2053862.97,124139,59.906361763580264,14.692389901642514,0.032762474667799475,0.11196675891186636
2020-10-01,Bronx,21615207.98,1519630996.0,265836.98,25269982.05,1631365,51.206344785560034,13.249768126691452,0.012149190337388711,0.1446290726589574
2020-10-01,Brooklyn,40459680.13,2966705258.0,1037321.28,47780123.14,2776454,49.09650127029909,14.572429483794798,0.024997499692833828,0.15321105365405718
2020-10-01,Manhattan,53153026.24,3707053120.0,2123656.37,65394538.84,3520806,51.61806110401785,15.096834713415054,0.038418665334591075,0.1871947232467096
2020-10-01,Queens,27441939.79,1847403461.0,736385.12,32529855.22,1765124,53.47558631860763,15.546749004602509,0.02613303389580371,0.15640756454617877
2020-10-01,Staten Island,1967270.21,120055371.0,71232.16,2260981.16,136107,58.99088643022893,14.45385035303107,0.03494337855491431,0.1299042005285883
2020-11-01,Bronx,18698188.77,1309140499.0,240149.68,22722264.8,1439212,51.41807134025574,12.991962803256227,0.01268060979235483,0.1770983687330323
2020-11-01,Brooklyn,34834827.3,2540829947.0,921726.29,42516099.16,2429566,49.356069038806865,14.337880633825135,0.025777828047101787,0.18066737099029762
2020-11-01,Manhattan,43367064.89,3001727839.0,1798998.8599999999,54652247.93,2880189,52.010522598214806,15.057020525389133,0.039830764751998114,0.2064907385777498
2020-11-01,Queens,23636150.93,1577056567.0,643130.72,28997643.669999998,1538713,53.95503568389123,15.36098735111746,0.026488869368999638,0.18489408315430889
2020-11-01,Staten Island,1634615.26,99933570.0,60005.56,1950837.64,115839,58.88526684276365,14.11109609026321,0.035409431591900305,0.16209569341711072
2020-12-01,Bronx,19826100.26,1375340352.0,252117.69999999998,23267592.33,1541681,51.89548960168952,12.86005357788025,0.012556776727011882,0.1479092473853738
2020-12-01,Brooklyn,35376558.18,2579572870.0,918429.24,41916501.39,2519504,49.37081286949649,14.041080379312753,0.02530457523988308,0.1560231172241926
2020-12-01,Manhattan,40738513.86,2819273643.0,1724778.3,50368768.37,2717265,52.020012409983714,14.992469950483299,0.04061810124144647,0.19119495714602086
2020-12-01,Queens,24247071.12,1622745624.0,680431.74,29374253.91,1618514,53.79121332451056,14.981069746693572,0.0272964261130166,0.17454682613247685
2020-12-01,Staten Island,1722469.96,106135737.0,61688.29,2022813.01,120259,58.424165425072616,14.323002519561944,0.0345755708609368,0.1484779109661748
2021-01-01,Bronx,20274331.93,1381118096.0,269075.44,23716268.15,1601952,52.84674435834776,12.656017115369249,0.013097897303683756,0.14512975642839487
2021-01-01,Brooklyn,34964281.69,2489833591.0,944685.38,41857509.74,2552543,50.554147288793644,13.697822794758011,0.02630778485380699,0.1646831857130926
2021-01-01,Manhattan,39780264.77,2689787381.0,1760739.43,49683538.18,2835931,53.24173731484988,14.027232951013266,0.04238557694760783,0.19932705625998548
