iter,feature,short,coef
13,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
13,HCI_x_ProductionValue,HC × Production,0.0
13,GFCF_x_ProductionValue,GFCF × Production,-0.0
14,Total_Production_Value_Per_Capita,Production Value,-0.0
14,Human capital index,Human Capital,0.0
14,Rule of law index,Rule of Law,0.0
14,Political stability — estimate,Political Stability,0.0
14,Trade (% of GDP),Trade,-0.0
14,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
14,Share of investment in GDP,Investment Share,0.0
14,Domestic credit to private sector (% of GDP),Domestic Credit,0.0
14,Landlocked,Landlocked,-0.0
14,Urban population (% of total population),Urban Population,0.029229749696922006
14,Government revenue,Gov Revenue,-0.0
14,Capital depreciation rate,Depreciation,-0.0
14,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
14,Real interest rate (%),Real Rate,0.0
14,"Inflation, consumer prices (annual %)",Inflation,-0.0
14,Access to electricity (% of population),Electricity,0.029850718417077912
14,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
14,L1_ECI,Lagged ECI,0.6188855515294484
14,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
14,HCI_x_ProductionValue,HC × Production,0.0
14,GFCF_x_ProductionValue,GFCF × Production,-0.0
15,Total_Production_Value_Per_Capita,Production Value,-0.0
15,Human capital index,Human Capital,0.011873051692149368
15,Rule of law index,Rule of Law,0.0
15,Political stability — estimate,Political Stability,-0.0
15,Trade (% of GDP),Trade,0.0
15,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,-0.0
15,Share of investment in GDP,Investment Share,0.010303316776688831
15,Domestic credit to private sector (% of GDP),Domestic Credit,0.047245472358045944
15,Landlocked,Landlocked,0.0
15,Urban population (% of total population),Urban Population,0.025702249863845616
15,Government revenue,Gov Revenue,-0.0
15,Capital depreciation rate,Depreciation,-0.003708669216904372
15,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.026470137965774913
15,Real interest rate (%),Real Rate,0.009044975456988458
15,"Inflation, consumer prices (annual %)",Inflation,-0.014533995566792914
15,Access to electricity (% of population),Electricity,0.01786107331534179
15,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.013916896143367613
15,L1_ECI,Lagged ECI,0.5332716944335643
15,Forestry rents (% of GDP),Forestry rents (% GDP),0.013001578633882975
15,HCI_x_ProductionValue,HC × Production,0.0
15,GFCF_x_ProductionValue,GFCF × Production,-0.0
16,Total_Production_Value_Per_Capita,Production Value,0.0
16,Human capital index,Human Capital,0.0
16,Rule of law index,Rule of Law,0.0
16,Political stability — estimate,Political Stability,0.0
16,Trade (% of GDP),Trade,0.0
16,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
16,Share of investment in GDP,Investment Share,0.0
16,Domestic credit to private sector (% of GDP),Domestic Credit,0.043195937946316446
16,Landlocked,Landlocked,-0.0
16,Urban population (% of total population),Urban Population,0.024837273818349426
16,Government revenue,Gov Revenue,-0.0
16,Capital depreciation rate,Depreciation,-0.0
16,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
16,Real interest rate (%),Real Rate,-0.0
16,"Inflation, consumer prices (annual %)",Inflation,0.0
16,Access to electricity (% of population),Electricity,0.0
16,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
16,L1_ECI,Lagged ECI,0.6293707110635346
16,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
16,HCI_x_ProductionValue,HC × Production,0.0
16,GFCF_x_ProductionValue,GFCF × Production,-0.0
17,Total_Production_Value_Per_Capita,Production Value,-0.0
17,Human capital index,Human Capital,0.029029129135831278
17,Rule of law index,Rule of Law,0.0
17,Political stability — estimate,Political Stability,0.0
17,Trade (% of GDP),Trade,-0.0
