"COUNTRY.ID","INDICATOR.ID","FREQUENCY.ID","TIME_PERIOD","OBS_VALUE","SCALE.ID"
"AUT","GPB_S13_POGDP_PT","A","2024","-3.59621570974855","0"
"AUT","GPB_S13_POGDP_PT","A","2025","-3.00946157690973","0"
"AUT","GPB_S13_POGDP_PT","A","2026","-2.55487013530762","0"
"AUT","GPB_S13_POGDP_PT","A","2027","-2.13001092730957","0"
"AUT","GPB_S13_POGDP_PT","A","2028","-1.74952803115016","0"
"AUT","GPB_S13_POGDP_PT","A","2029","-1.66875790225504","0"
"AUT","GPB_S13_POGDP_PT","A","2030","-1.56294335699422","0"
"TCD","GPB_S13_POGDP_PT","A","1996","-2.74986418963531","0"
"TCD","GPB_S13_POGDP_PT","A","1997","-1.93763666770881","0"
"TCD","GPB_S13_POGDP_PT","A","1998","-1.17585063403119","0"
"TCD","GPB_S13_POGDP_PT","A","1999","-3.44746289745342","0"
"TCD","GPB_S13_POGDP_PT","A","2000","-3.96976443344009","0"
"TCD","GPB_S13_POGDP_PT","A","2001","-3.0345178671992","0"
"TCD","GPB_S13_POGDP_PT","A","2002","-3.49400087057226","0"
"TCD","GPB_S13_POGDP_PT","A","2003","-3.90829137439339","0"
"TCD","GPB_S13_POGDP_PT","A","2004","-1.54318177522484","0"
"TCD","GPB_S13_POGDP_PT","A","2005","0.174686148430353","0"
"TCD","GPB_S13_POGDP_PT","A","2006","1.99099008730788","0"
"TCD","GPB_S13_POGDP_PT","A","2007","2.22215833438968","0"
"TCD","GPB_S13_POGDP_PT","A","2008","2.94078625342646","0"
"TCD","GPB_S13_POGDP_PT","A","2009","-8.10316152514505","0"
"TCD","GPB_S13_POGDP_PT","A","2010","-2.73681849047174","0"
"TCD","GPB_S13_POGDP_PT","A","2011","2.19110793598285","0"
"TCD","GPB_S13_POGDP_PT","A","2012","0.634764513395958","0"
"TCD","GPB_S13_POGDP_PT","A","2013","-1.11712184063695","0"
"TCD","GPB_S13_POGDP_PT","A","2014","-2.76958719664867","0"
"TCD","GPB_S13_POGDP_PT","A","2015","-2.02592188169667","0"
"TCD","GPB_S13_POGDP_PT","A","2016","0.0462327789233704","0"
"TCD","GPB_S13_POGDP_PT","A","2017","1.02239385044753","0"
"TCD","GPB_S13_POGDP_PT","A","2018","2.2008484136256","0"
"TCD","GPB_S13_POGDP_PT","A","2019","0.606954224732539","0"
