period,reporterISO,reporterDesc,total_imports_usd
2019,TTO,Trinidad and Tobago,6338601314.153
2019,TUN,Tunisia,21573846826.992
2019,TUR,Türkiye,210345202552.0
2019,TZA,United Rep. of Tanzania,9054671035.44
2019,UGA,Uganda,7696028888.77
2019,UKR,Ukraine,60799689210.96
2019,URY,Uruguay,8245758796.97
2019,USA,USA,2567492197103.0
2019,UZB,Uzbekistan,21867269545.15
2019,VCT,Saint Vincent and the Grenadines,335230895.65
2019,VNM,Viet Nam,253442015854.49
2019,WSM,Samoa,390681506.03
2019,YEM,Yemen,4715958741.226
2019,ZAF,South Africa,88037490927.971
2019,ZMB,Zambia,7173221888.47
2019,ZWE,Zimbabwe,4787446790.5
