period,reporterISO,reporterDesc,total_exports_usd
1995,BOL,Bolivia (Plurinational State of),1181212032.0
1996,BOL,Bolivia (Plurinational State of),1086943360.0
1997,BOL,Bolivia (Plurinational State of),1272097664.0
1998,BOL,Bolivia (Plurinational State of),1323269376.0
1999,BOL,Bolivia (Plurinational State of),1401883454.0
2000,BOL,Bolivia (Plurinational State of),1472403785.0
1995,BRA,Brazil,46504931328.0
1996,BRA,Brazil,47745933312.0
1997,BRA,Brazil,52985810944.0
1998,BRA,Brazil,51119869952.0
1999,BRA,Brazil,48011410609.0
2000,BRA,Brazil,54993153735.0
1997,BRB,Barbados,282927072.0
1998,BRB,Barbados,258656240.0
1999,BRB,Barbados,250723520.0
2000,BRB,Barbados,272834481.0
1997,BRN,Brunei Darussalam,2657078784.0
1998,BRN,Brunei Darussalam,2306827830.0
1998,BTN,Bhutan,108462968.0
1999,BTN,Bhutan,115950052.0
2000,BWA,Botswana,2778832289.0
1995,CAF,Central African Rep.,119521440.0
1996,CAF,Central African Rep.,115127528.0
1997,CAF,Central African Rep.,98583168.0
1998,CAF,Central African Rep.,106264048.0
1999,CAF,Central African Rep.,110049480.0
2000,CAF,Central African Rep.,80096695.0
1995,CAN,Canada,191117744151.0
1996,CAN,Canada,202262551209.0
1997,CAN,Canada,216037338607.0
1998,CAN,Canada,214606348288.0
1999,CAN,Canada,238778007509.0
2000,CAN,Canada,277419920540.0
1995,CHE,Switzerland,81641111552.0
1996,CHE,Switzerland,79776972800.0
1997,CHE,Switzerland,76149940224.0
1998,CHE,Switzerland,78855643136.0
1999,CHE,Switzerland,80299720704.0
2000,CHE,Switzerland,92386894676.788
1995,CHL,Chile,15901136896.0
1996,CHL,Chile,15406822400.0
1997,CHL,Chile,16678189056.0
1998,CHL,Chile,14841618432.0
1999,CHL,Chile,15619179063.0
2000,CHL,Chile,18214503759.0
1995,CHN,China,148779499983.0
1996,CHN,China,151047461759.0
1997,CHN,China,182791584798.0
1998,CHN,China,183808983040.0
1999,CHN,China,194930778542.0
2000,CHN,China,249202551015.0
1995,CIV,Côte d'Ivoire,3736867840.0
1996,CIV,Côte d'Ivoire,4274680576.0
1997,CIV,Côte d'Ivoire,4166296832.0
1998,CIV,Côte d'Ivoire,4407409664.0
1999,CIV,Côte d'Ivoire,4313840640.0
2000,CIV,Côte d'Ivoire,3611252483.0
1995,CMR,Cameroon,1538718208.0
1996,CMR,Cameroon,1757868032.0
1997,CMR,Cameroon,1859308416.0
2000,CMR,Cameroon,1822623715.0
1995,COG,Congo,1089792640.0
2000,COK,Cook Isds,8907081.0
1995,COL,Colombia,10201048064.0
1996,COL,Colombia,10647555072.0
1997,COL,Colombia,11549019136.0
1998,COL,Colombia,10821222400.0
1999,COL,Colombia,11617030144.0
2000,COL,Colombia,13158400847.0
1995,COM,Comoros,11024356.0
1996,COM,Comoros,6140695.0
1997,COM,Comoros,5628310.0
1998,COM,Comoros,3937605.0
1999,COM,Comoros,4652278.0
2000,COM,Comoros,7179964.0
1997,CPV,Cabo Verde,81534016.0
1998,CPV,Cabo Verde,46710648.0
1999,CPV,Cabo Verde,50152720.0
2000,CPV,Cabo Verde,49282564.0
1995,CRI,Costa Rica,2701754624.0
1996,CRI,Costa Rica,2779789824.0
1997,CRI,Costa Rica,3892947968.0
1998,CRI,Costa Rica,5151279104.0
1999,CRI,Costa Rica,6283076111.0
2000,CRI,Costa Rica,5486878368.0
1999,CUB,Cuba,1495833377.0
2000,CUB,Cuba,1676061811.0
1995,CYP,Cyprus,1230544256.0
1996,CYP,Cyprus,1390613376.0
1997,CYP,Cyprus,1250107776.0
1998,CYP,Cyprus,1061851200.0
1999,CYP,Cyprus,997005504.0
2000,CYP,Cyprus,980554638.0
1995,CZE,Czechia,21685565440.0
1996,CZE,Czechia,21907320832.0
1998,CZE,Czechia,28305768448.0
1999,CZE,Czechia,26842601535.0
2000,CZE,Czechia,29052866787.0
1995,DEU,Germany,523696751000.0
1996,DEU,Germany,524165984155.0
1997,DEU,Germany,512440270848.0
1998,DEU,Germany,543555256320.0
1999,DEU,Germany,542835572736.0
2000,DEU,Germany,549606741000.0
1995,DMA,Dominica,45243276.0
1996,DMA,Dominica,51152720.0
1997,DMA,Dominica,51930356.0
1999,DMA,Dominica,54316352.0
2000,DMA,Dominica,53582548.0
1995,DNK,Denmark,48789127168.0
1996,DNK,Denmark,48884543488.0
1998,DNK,Denmark,47709990912.0
1999,DNK,Denmark,49027809020.0
2000,DNK,Denmark,49102286748.0
1996,DOM,Dominican Rep.,4097815808.0
1997,DOM,Dominican Rep.,4763227648.0
1995,DZA,Algeria,9356680192.0
1996,DZA,Algeria,11099222016.0
1997,DZA,Algeria,13894123520.0
1998,DZA,Algeria,9838587904.0
1999,DZA,Algeria,12525276632.0
2000,DZA,Algeria,22031287644.0
1995,ECU,Ecuador,4361497088.0
1996,ECU,Ecuador,4889830912.0
1998,ECU,Ecuador,4203045888.0
1999,ECU,Ecuador,4451080724.0
2000,ECU,Ecuador,4821869284.0
1995,EGY,Egypt,3444135424.0
1996,EGY,Egypt,3534493184.0
1997,EGY,Egypt,3907973888.0
1998,EGY,Egypt,3195258880.0
1999,EGY,Egypt,3500898560.0
2000,EGY,Egypt,4710270524.458
1995,ESP,Spain,89616056320.0
1996,ESP,Spain,101592293376.0
1997,ESP,Spain,106240696320.0
1998,ESP,Spain,109251190784.0
1999,ESP,Spain,111492928927.0
2000,ESP,Spain,114336007725.799
1995,EST,Estonia,1840378240.0
1996,EST,Estonia,2077993472.0
1997,EST,Estonia,2935698944.0
1998,EST,Estonia,3244834048.0
1999,EST,Estonia,3017194127.0
2000,EST,Estonia,3829703514.0
1995,ETH,Ethiopia,421935072.0
1997,ETH,Ethiopia,553974976.0
1998,ETH,Ethiopia,560282816.0
1999,ETH,Ethiopia,448578976.0
2000,ETH,Ethiopia,482293687.854
1995,FIN,Finland,40408522752.0
1996,FIN,Finland,40561508352.0
1997,FIN,Finland,40980000768.0
1998,FIN,Finland,43210153984.0
1999,FIN,Finland,41765477900.0
2000,FIN,Finland,45474931211.0
2000,FJI,Fiji,465940021.0
1995,FRA,France,284045606912.0
1996,FRA,France,283901198336.0
1997,FRA,France,283345616896.0
1998,FRA,France,300571066368.0
1999,FRA,France,296025161728.0
2000,FRA,France,295345419474.0
1996,FRO,Faroe Isds,422306496.0
1997,FRO,Faroe Isds,383610688.0
1998,FRO,Faroe Isds,430419552.0
1999,FRO,Faroe Isds,477880406.0
2000,FRO,Faroe Isds,476729053.0
1996,GAB,Gabon,3145602816.0
1997,GAB,Gabon,2631111668.0
1998,GAB,Gabon,2602773532.0
1999,GAB,Gabon,2072117903.0
2000,GAB,Gabon,2601484084.0
1995,GBR,United Kingdom,234372202496.0
1996,GBR,United Kingdom,253622091776.0
1997,GBR,United Kingdom,278906969481.0
1998,GBR,United Kingdom,270295285330.0
1999,GBR,United Kingdom,265442493128.0
2000,GBR,United Kingdom,294899046600.0
1996,GEO,Georgia,198765525.0
1997,GEO,Georgia,239786238.0
1998,GEO,Georgia,192322511.0
1999,GEO,Georgia,238166192.0
2000,GEO,Georgia,322748680.0
1996,GHA,Ghana,2466951168.0
1997,GHA,Ghana,1634695808.0
1998,GHA,Ghana,1157985152.0
1999,GHA,Ghana,1269734144.0
2000,GHA,Ghana,1574112997.0
1995,GIN,Guinea,701860800.0
1996,GIN,Guinea,709236800.0
1997,GIN,Guinea,684462720.0
1998,GIN,Guinea,562858688.0
1999,GIN,Guinea,473871648.0
2000,GIN,Guinea,529465775.0
1995,GLP,Guadeloupe (Overseas France),161973776.0
1995,GMB,Gambia,18737044.0
1996,GMB,Gambia,12829970.0
1997,GMB,Gambia,8648743.0
1998,GMB,Gambia,25635162.0
1999,GMB,Gambia,12287982.0
2000,GMB,Gambia,16130301.71
1995,GRC,Greece,10954619904.0
1996,GRC,Greece,11879593984.0
1997,GRC,Greece,11166989312.0
1998,GRC,Greece,10867735552.0
1999,GRC,Greece,11035073886.0
2000,GRC,Greece,10847422723.0
1995,GRD,Grenada,21738262.0
1996,GRD,Grenada,19773284.0
1997,GRD,Grenada,25964948.0
1998,GRD,Grenada,40593068.0
1999,GRD,Grenada,36320656.0
2000,GRD,Grenada,75844014.0
1995,GRL,Greenland,363642624.0
1996,GRL,Greenland,369210144.0
1997,GRL,Greenland,285208064.0
1998,GRL,Greenland,255289392.0
1999,GRL,Greenland,289458589.0
2000,GRL,Greenland,271329233.0
1995,GTM,Guatemala,1935511424.0
1996,GTM,Guatemala,2030728576.0
1997,GTM,Guatemala,2344078592.0
1998,GTM,Guatemala,2581669632.0
1999,GTM,Guatemala,2458210035.0
2000,GTM,Guatemala,2699033933.0
1995,GUF,French Guiana (Overseas France),158168032.0
1997,GUY,Guyana,536224000.0
1998,GUY,Guyana,501588000.0
1999,GUY,Guyana,474202880.0
2000,GUY,Guyana,520409508.0
1995,HKG,"China, Hong Kong SAR",173870762570.0
1996,HKG,"China, Hong Kong SAR",180914323899.0
1997,HKG,"China, Hong Kong SAR",188201260754.0
1998,HKG,"China, Hong Kong SAR",174863528638.0
1999,HKG,"China, Hong Kong SAR",174402740756.0
2000,HKG,"China, Hong Kong SAR",202710086414.0
1995,HND,Honduras,656010624.0
1996,HND,Honduras,1315997312.0
1997,HND,Honduras,1445698432.0
1998,HND,Honduras,1532791424.0
1999,HND,Honduras,1164394368.0
2000,HND,Honduras,1358695476.0
1995,HRV,Croatia,4632655872.0
1996,HRV,Croatia,4511729152.0
1997,HRV,Croatia,4340856320.0
1998,HRV,Croatia,4541103616.0
1999,HRV,Croatia,4279690427.0
2000,HRV,Croatia,4431597348.0
1995,HTI,Haiti,35026864.0
1996,HTI,Haiti,51831600.0
1997,HTI,Haiti,60664344.0
1995,HUN,Hungary,12452023296.0
1996,HUN,Hungary,12632794112.0
1997,HUN,Hungary,19099193344.0
1998,HUN,Hungary,23005022208.0
1999,HUN,Hungary,25012186000.0
2000,HUN,Hungary,28092242000.0
1995,IDN,Indonesia,45417963520.0
1996,IDN,Indonesia,49814695936.0
1997,IDN,Indonesia,53443579904.0
1998,IDN,Indonesia,48847519744.0
1999,IDN,Indonesia,48665419481.0
2000,IDN,Indonesia,62124006936.0
1995,IND,India,31698567168.0
1996,IND,India,33468591194.0
1997,IND,India,34793750528.0
1998,IND,India,33207324672.0
1999,IND,India,36919977135.0
2000,IND,India,42358096158.0
1995,IRL,Ireland,43789340672.0
1996,IRL,Ireland,45565353984.0
1997,IRL,Ireland,53619650560.0
1998,IRL,Ireland,64246931456.0
1999,IRL,Ireland,71226728448.0
2000,IRL,Ireland,77604937547.06
1997,IRN,Iran,18425255702.0
1998,IRN,Iran,13241061980.0
1999,IRN,Iran,20008248712.0
2000,IRN,Iran,28345000000.0
1995,ISL,Iceland,1802505472.0
1996,ISL,Iceland,1897081344.0
1997,ISL,Iceland,1851417344.0
1998,ISL,Iceland,1931225472.0
1999,ISL,Iceland,2009715840.0
2000,ISL,Iceland,1900881302.0
1995,ISR,Israel,19047421952.0
1996,ISR,Israel,20510239000.0
1997,ISR,Israel,22502976000.0
1998,ISR,Israel,23303550976.0
1999,ISR,Israel,25839935000.0
2000,ISR,Israel,31407370000.0
1995,ITA,Italy,230441484288.0
1996,ITA,Italy,252098576384.0
1997,ITA,Italy,238265778176.0
1998,ITA,Italy,242102206464.0
1999,ITA,Italy,234962950629.0
2000,ITA,Italy,238651235569.654
1996,JAM,Jamaica,1386874309.0
1997,JAM,Jamaica,1386105728.0
1998,JAM,Jamaica,1265907840.0
1999,JAM,Jamaica,1239399040.0
2000,JAM,Jamaica,1307598876.0
1995,JOR,Jordan,1768849664.0
1997,JOR,Jordan,1576327936.0
1998,JOR,Jordan,1382345088.0
1999,JOR,Jordan,1820777600.0
2000,JOR,Jordan,1897487755.0
1995,JPN,Japan,442937359685.0
1996,JPN,Japan,410946940988.0
1997,JPN,Japan,421052867749.0
1998,JPN,Japan,388136156315.0
1999,JPN,Japan,417610124903.0
2000,JPN,Japan,479275540084.0
1995,KAZ,Kazakhstan,5226721870.0
1996,KAZ,Kazakhstan,5896832850.0
1997,KAZ,Kazakhstan,6486645811.0
1998,KAZ,Kazakhstan,5403772928.0
1999,KAZ,Kazakhstan,5871274796.0
2000,KAZ,Kazakhstan,8679362200.0
1997,KEN,Kenya,1959424512.0
1998,KEN,Kenya,1916634752.0
1999,KEN,Kenya,1650920778.0
2000,KEN,Kenya,1571043386.0
1995,KGZ,Kyrgyzstan,412041280.0
1996,KGZ,Kyrgyzstan,507070144.0
2000,KGZ,Kyrgyzstan,504489179.0
2000,KHM,Cambodia,1389454739.0
1995,KIR,Kiribati,7191233.0
1996,KIR,Kiribati,4859792.0
1997,KIR,Kiribati,5112970.0
1998,KIR,Kiribati,5543800.0
1999,KIR,Kiribati,9077401.0
1995,KNA,Saint Kitts and Nevis,18784660.0
1996,KNA,Saint Kitts and Nevis,21518144.0
1997,KNA,Saint Kitts and Nevis,41072368.0
1999,KNA,Saint Kitts and Nevis,27930712.0
2000,KNA,Saint Kitts and Nevis,32579985.0
1995,KOR,Rep. of Korea,125056450560.0
1996,KOR,Rep. of Korea,129712545792.0
1997,KOR,Rep. of Korea,136151023616.0
1998,KOR,Rep. of Korea,132302323712.0
1999,KOR,Rep. of Korea,143685399426.0
2000,KOR,Rep. of Korea,172267495379.0
2000,KWT,Kuwait,19399475513.0
1997,LBN,Lebanon,642229248.0
1998,LBN,Lebanon,660939840.0
1999,LBN,Lebanon,676761280.0
2000,LBN,Lebanon,714340424.0
1995,LCA,Saint Lucia,108967568.0
1996,LCA,Saint Lucia,79506648.0
1997,LCA,Saint Lucia,61250064.0
1998,LCA,Saint Lucia,53812920.0
1999,LCA,Saint Lucia,55678468.0
2000,LCA,Saint Lucia,43366634.0
1999,LKA,Sri Lanka,4467271168.0
2000,LKA,Sri Lanka,5337517843.0
1995,LTU,Lithuania,2705662208.0
1996,LTU,Lithuania,3356355072.0
1997,LTU,Lithuania,3862455552.0
1998,LTU,Lithuania,3710731520.0
1999,LTU,Lithuania,3003828561.0
2000,LTU,Lithuania,3809411151.0
1999,LUX,Luxembourg,7673970126.0
2000,LUX,Luxembourg,7876174863.0
1995,LVA,Latvia,1305006592.0
1996,LVA,Latvia,1443301376.0
1997,LVA,Latvia,1671602048.0
1998,LVA,Latvia,1811128064.0
1999,LVA,Latvia,1723793807.0
2000,LVA,Latvia,1486751176.04
1995,MAC,"China, Macao SAR",2024681088.0
1996,MAC,"China, Macao SAR",2100014464.0
1997,MAC,"China, Macao SAR",2282087168.0
1998,MAC,"China, Macao SAR",2134607360.0
1999,MAC,"China, Macao SAR",2196667904.0
2000,MAC,"China, Macao SAR",2652958737.258
1995,MAR,Morocco,4718877184.0
1996,MAR,Morocco,4741999616.0
1997,MAR,Morocco,4674169856.0
1998,MAR,Morocco,7155267072.0
1999,MAR,Morocco,7502914560.0
2000,MAR,Morocco,7422156284.578
1995,MDA,Rep. of Moldova,745527168.0
1996,MDA,Rep. of Moldova,794994752.0
1997,MDA,Rep. of Moldova,567758895.0
1998,MDA,Rep. of Moldova,631815360.0
1999,MDA,Rep. of Moldova,464166496.0
2000,MDA,Rep. of Moldova,471534737.0
1995,MDG,Madagascar,359872512.0
1996,MDG,Madagascar,299049408.0
1997,MDG,Madagascar,277755424.0
1998,MDG,Madagascar,234558096.0
1999,MDG,Madagascar,232759000.0
2000,MDG,Madagascar,859249278.538
1995,MDV,Maldives,49804380.0
1996,MDV,Maldives,59404352.0
1997,MDV,Maldives,70214168.0
1998,MDV,Maldives,74625744.0
1999,MDV,Maldives,63951212.0
2000,MDV,Maldives,76195782.0
1995,MEX,Mexico,79540658176.0
1996,MEX,Mexico,95661170688.0
1997,MEX,Mexico,110046904320.0
1998,MEX,Mexico,117325348864.0
1999,MEX,Mexico,136262811648.0
2000,MEX,Mexico,166294339530.0
1995,MKD,North Macedonia,1204036608.0
1996,MKD,North Macedonia,1147436672.0
1997,MKD,North Macedonia,1236803584.0
1998,MKD,North Macedonia,1310675456.0
1999,MKD,North Macedonia,1191261568.0
2000,MKD,North Macedonia,1322616878.47
1996,MLI,Mali,409521792.0
1997,MLI,Mali,302353152.0
1998,MLI,Mali,446843808.0
1999,MLI,Mali,501750240.0
2000,MLI,Mali,472920393.0
1995,MLT,Malta,1913218048.0
1996,MLT,Malta,1747885952.0
1997,MLT,Malta,1644257280.0
1998,MLT,Malta,1832752768.0
1999,MLT,Malta,1979632128.0
2000,MLT,Malta,2442762625.0
1996,MNG,Mongolia,424266880.0
1997,MNG,Mongolia,451434112.0
1998,MNG,Mongolia,345071808.0
1999,MNG,Mongolia,358194368.0
2000,MNG,Mongolia,535600146.0
1995,MOZ,Mozambique,174295000.0
1996,MOZ,Mozambique,226085000.0
1997,MOZ,Mozambique,229624775.0
1999,MOZ,Mozambique,270629774.0
2000,MOZ,Mozambique,363962000.0
2000,MRT,Mauritania,342806822.0
1999,MSR,Montserrat,1254600.0
2000,MSR,Montserrat,1118132.0
1995,MTQ,Martinique (Overseas France),241915488.0
1995,MUS,Mauritius,1538284672.0
1996,MUS,Mauritius,1699367424.0
1997,MUS,Mauritius,1600096256.0
1998,MUS,Mauritius,1700374528.0
1999,MUS,Mauritius,1562475473.0
2000,MUS,Mauritius,1490666268.0
1995,MWI,Malawi,433343584.0
1996,MWI,Malawi,515645720.0
1997,MWI,Malawi,541609828.0
1998,MWI,Malawi,541072346.0
1999,MWI,Malawi,461925952.0
2000,MWI,Malawi,379292364.0
1995,MYS,Malaysia,73778148897.0
1996,MYS,Malaysia,78314873320.0
1997,MYS,Malaysia,78729420800.0
1998,MYS,Malaysia,73254221383.0
1999,MYS,Malaysia,84511901587.0
2000,MYS,Malaysia,98229725796.0
2000,MYT,Mayotte (Overseas France),2754154.0
2000,NAM,Namibia,1317274487.0
1999,NCL,New Caledonia,394798912.0
2000,NCL,New Caledonia,635477184.0
1995,NER,Niger,273417184.0
1996,NER,Niger,388319808.0
1997,NER,Niger,329179712.0
1998,NER,Niger,336788800.0
1999,NER,Niger,293887168.0
2000,NER,Niger,224038034.0
1996,NGA,Nigeria,11393896390.0
1997,NGA,Nigeria,11163923370.0
1998,NGA,Nigeria,6868921344.0
1999,NGA,Nigeria,16123503616.0
2000,NGA,Nigeria,27080017684.0
1995,NIC,Nicaragua,509210752.0
1996,NIC,Nicaragua,660182400.0
1997,NIC,Nicaragua,666607296.0
1998,NIC,Nicaragua,552822912.0
1999,NIC,Nicaragua,508482031.0
2000,NIC,Nicaragua,629351131.0
1995,NLD,Netherlands,177626234880.0
1996,NLD,Netherlands,177368498176.0
1997,NLD,Netherlands,184433197056.0
1998,NLD,Netherlands,167595517225.0
1999,NLD,Netherlands,170538253232.0
2000,NLD,Netherlands,213424403533.0
1995,NOR,Norway,41740320768.0
1996,NOR,Norway,48954961920.0
1997,NOR,Norway,48549838848.0
1998,NOR,Norway,40401838080.0
1999,NOR,Norway,45479329792.0
2000,NOR,Norway,60337044459.425
1998,NPL,Nepal,408728512.0
1999,NPL,Nepal,524294592.0
2000,NPL,Nepal,708773952.0
1995,NZL,New Zealand,13745414860.0
1996,NZL,New Zealand,14354259163.0
1997,NZL,New Zealand,14085868544.0
1998,NZL,New Zealand,12087535616.0
1999,NZL,New Zealand,12473943873.0
2000,NZL,New Zealand,13297426423.0
1995,OMN,Oman,5917388800.0
1996,OMN,Oman,7221942784.0
1997,OMN,Oman,7630663168.0
1998,OMN,Oman,5518813696.0
1999,OMN,Oman,7230925824.0
2000,OMN,Oman,11318065764.0
1995,PAN,Panama,577208256.0
1996,PAN,Panama,569200128.0
1997,PAN,Panama,658051392.0
1998,PAN,Panama,705456704.0
1999,PAN,Panama,707130402.0
2000,PAN,Panama,779075431.0
1995,PER,Peru,5439694336.0
1996,PER,Peru,5835009536.0
1997,PER,Peru,6759378432.0
1998,PER,Peru,5671803904.0
1999,PER,Peru,5932053067.0
2000,PER,Peru,6322421097.0
1996,PHL,Philippines,20542472192.0
1997,PHL,Philippines,25227692032.0
1998,PHL,Philippines,29496340480.0
1999,PHL,Philippines,35036880896.0
2000,PHL,Philippines,38078249794.0
1998,PNG,Papua New Guinea,2460502528.0
2000,PNG,Papua New Guinea,2407341257.0
1995,POL,Poland,22862130000.0
1996,POL,Poland,24389859328.0
1997,POL,Poland,25700735424.0
1998,POL,Poland,28193638000.0
1999,POL,Poland,27374963000.0
2000,POL,Poland,30955677000.0
1995,PRT,Portugal,23369994240.0
1996,PRT,Portugal,23180974080.0
1997,PRT,Portugal,23524898816.0
1998,PRT,Portugal,24217868288.0
1999,PRT,Portugal,24493549734.0
2000,PRT,Portugal,24327667762.0
1995,PRY,Paraguay,919330624.0
1996,PRY,Paraguay,1042993792.0
1997,PRY,Paraguay,1141002368.0
1998,PRY,Paraguay,1014102656.0
1999,PRY,Paraguay,740768872.0
2000,PRY,Paraguay,2200087905.0
1996,PYF,French Polynesia,251155120.0
1997,PYF,French Polynesia,221642624.0
1998,PYF,French Polynesia,252081760.0
1999,PYF,French Polynesia,248894452.0
2000,PYF,French Polynesia,222528632.0
2000,QAT,Qatar,8846958592.0
1995,REU,Réunion (Overseas France),208689936.0
1995,ROU,Romania,7910049280.0
1996,ROU,Romania,8084459008.0
1997,ROU,Romania,8431049216.0
1998,ROU,Romania,8300932096.0
1999,ROU,Romania,8502972928.0
2000,ROU,Romania,10366521282.76
1996,RUS,Russian Federation,88703000000.0
1997,RUS,Russian Federation,85889245184.0
1998,RUS,Russian Federation,72275585466.0
1999,RUS,Russian Federation,72884999952.0
2000,RUS,Russian Federation,103092748421.0
1996,RWA,Rwanda,9757476.0
1997,RWA,Rwanda,53827416.0
1998,RWA,Rwanda,39463932.0
1999,RWA,Rwanda,56589024.0
1997,S19,"Other Asia, nes",122080378880.0
1998,S19,"Other Asia, nes",112593829888.0
1999,S19,"Other Asia, nes",121495887872.0
2000,S19,"Other Asia, nes",148316104339.0
1995,SAU,Saudi Arabia,49029578752.0
1996,SAU,Saudi Arabia,56509526016.0
1998,SAU,Saudi Arabia,39806951424.0
1999,SAU,Saudi Arabia,50693813581.0
2000,SAU,Saudi Arabia,77204301305.0
1996,SCG,Serbia and Montenegro (...2005),1841746048.0
1997,SCG,Serbia and Montenegro (...2005),2367984896.0
1998,SCG,Serbia and Montenegro (...2005),2858166016.0
1999,SCG,Serbia and Montenegro (...2005),1497405056.0
2000,SCG,Serbia and Montenegro (...2005),1711074000.0
1995,SDN,Sudan (...2011),685193216.0
1996,SDN,Sudan (...2011),273146208.0
1997,SDN,Sudan (...2011),490447040.0
1998,SDN,Sudan (...2011),534651712.0
1999,SDN,Sudan (...2011),222063840.0
2000,SDN,Sudan (...2011),1898947145.329
1996,SEN,Senegal,409322528.0
1997,SEN,Senegal,344527488.0
1998,SEN,Senegal,517367616.0
1999,SEN,Senegal,471319844.0
2000,SEN,Senegal,693346787.0
1995,SGP,Singapore,118263103488.0
1996,SGP,Singapore,125007762852.0
1997,SGP,Singapore,124988069164.0
1998,SGP,Singapore,109904936960.0
1999,SGP,Singapore,114681728362.0
2000,SGP,Singapore,137805720273.0
2000,SLE,Sierra Leone,13032829.0
1995,SLV,El Salvador,985199360.0
1996,SLV,El Salvador,1024263680.0
1998,SLV,El Salvador,1257067008.0
1999,SLV,El Salvador,1164156461.0
2000,SLV,El Salvador,3979745400.31
1999,STP,Sao Tome and Principe,2194828.0
2000,STP,Sao Tome and Principe,2763645.0
1995,SUR,Suriname,482677632.0
1996,SUR,Suriname,426713728.0
1999,SUR,Suriname,355840992.0
2000,SUR,Suriname,506975642.0
1995,SVK,Slovakia,8374272512.0
1996,SVK,Slovakia,7490881536.0
1997,SVK,Slovakia,9633901568.0
1998,SVK,Slovakia,10718081024.0
1999,SVK,Slovakia,10056773255.0
2000,SVK,Slovakia,11884547516.0
1995,SVN,Slovenia,8315799040.0
1996,SVN,Slovenia,8309795840.0
1997,SVN,Slovenia,8368848896.0
1998,SVN,Slovenia,9050524672.0
1999,SVN,Slovenia,8545870832.0
2000,SVN,Slovenia,8732145119.0
1995,SWE,Sweden,77436321792.0
1996,SWE,Sweden,83408199680.0
1997,SWE,Sweden,81477337088.0
1998,SWE,Sweden,84991770624.0
