period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
1996,CHE,Switzerland,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",36402224.0
1997,CHE,Switzerland,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",32889772.0
1998,CHE,Switzerland,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",35135264.0
1999,CHE,Switzerland,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",33264200.0
2000,CHE,Switzerland,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",33465503.145
1995,CHL,Chile,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",17614160.0
1996,CHL,Chile,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",41477152.0
1997,CHL,Chile,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",34762168.0
1998,CHL,Chile,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",29557024.0
1999,CHL,Chile,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",36937767.0
2000,CHL,Chile,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",34787129.0
1995,CHN,China,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1265557156.0
1996,CHN,China,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1376012580.0
1997,CHN,China,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1490132203.0
1998,CHN,China,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1252478592.0
1999,CHN,China,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1118370711.0
2000,CHN,China,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1266301162.0
1995,CIV,Côte d'Ivoire,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",35002640.0
1996,CIV,Côte d'Ivoire,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",38875656.0
1997,CIV,Côte d'Ivoire,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",34684532.0
1998,CIV,Côte d'Ivoire,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",39593668.0
1999,CIV,Côte d'Ivoire,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",41356540.0
2000,CIV,Côte d'Ivoire,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",42127267.0
1995,CMR,Cameroon,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",14980271.0
1996,CMR,Cameroon,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",28865660.0
1997,CMR,Cameroon,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",7232756.0
2000,CMR,Cameroon,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",8938326.0
1995,COG,Congo,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",220777.0
1995,COL,Colombia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",53107232.0
1996,COL,Colombia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",65162928.0
1997,COL,Colombia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",68205840.0
1998,COL,Colombia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",77128416.0
1999,COL,Colombia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",82205632.0
2000,COL,Colombia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",87005314.0
1997,CPV,Cabo Verde,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",87.0
1998,CPV,Cabo Verde,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",43.0
1999,CPV,Cabo Verde,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",59.0
