period,reporterISO,reporterDesc,total_exports_usd
2004,AZE,Azerbaijan,3615449827.0
2005,AZE,Azerbaijan,4347151207.0
2006,AZE,Azerbaijan,6372164992.0
2001,BDI,Burundi,42155840.0
2002,BDI,Burundi,26559876.0
2003,BDI,Burundi,65903214.0
2004,BDI,Burundi,82724709.0
2005,BDI,Burundi,113755962.0
2006,BDI,Burundi,228522401.0
2001,BEL,Belgium,190309486976.0
2002,BEL,Belgium,215803005428.0
2003,BEL,Belgium,255553660880.0
2004,BEL,Belgium,307690419647.0
2005,BEL,Belgium,335691778058.0
2006,BEL,Belgium,366835492350.0
2001,BEN,Benin,204165363.0
2002,BEN,Benin,241718935.0
2003,BEN,Benin,271525807.0
2004,BEN,Benin,298312458.0
2005,BEN,Benin,288195509.0
2006,BEN,Benin,224593084.0
2001,BFA,Burkina Faso,188240936.0
2002,BFA,Burkina Faso,170550669.0
2003,BFA,Burkina Faso,313984875.0
2004,BFA,Burkina Faso,392075092.0
2005,BFA,Burkina Faso,349268918.121
2006,BFA,Burkina Faso,507092746.903
2001,BGD,Bangladesh,5388747139.0
2002,BGD,Bangladesh,5417272534.0
2003,BGD,Bangladesh,6403425621.0
2004,BGD,Bangladesh,8267482023.0
2005,BGD,Bangladesh,9331583363.0
2006,BGD,Bangladesh,11696700498.0
2001,BGR,Bulgaria,5113888232.0
2002,BGR,Bulgaria,5748869468.0
2003,BGR,Bulgaria,7540175591.0
2004,BGR,Bulgaria,9931087433.0
2005,BGR,Bulgaria,11739329329.0
2006,BGR,Bulgaria,15101457070.0
2001,BHR,Bahrain,5551309153.0
2002,BHR,Bahrain,5794198135.0
2003,BHR,Bahrain,6631600766.0
2004,BHR,Bahrain,7516028525.0
2005,BHR,Bahrain,10238577799.0
2006,BHR,Bahrain,11661614411.0
2001,BHS,Bahamas,375881195.0
2002,BHS,Bahamas,388767972.0
2003,BHS,Bahamas,364827363.0
2004,BHS,Bahamas,401310657.0
2005,BHS,Bahamas,270849123.0
2006,BHS,Bahamas,509419838.0
2003,BIH,Bosnia Herzegovina,1400284313.0
2004,BIH,Bosnia Herzegovina,1912379000.0
2005,BIH,Bosnia Herzegovina,2388483188.0
2006,BIH,Bosnia Herzegovina,3427781565.0
2001,BLR,Belarus,7450644000.0
2002,BLR,Belarus,8020912000.0
2003,BLR,Belarus,9945588400.0
2004,BLR,Belarus,13751699600.0
2005,BLR,Belarus,15977220700.0
2006,BLR,Belarus,19738543400.0
2001,BLZ,Belize,181888966.0
2002,BLZ,Belize,164484703.0
2003,BLZ,Belize,201652345.0
2004,BLZ,Belize,215764471.0
2005,BLZ,Belize,207635672.5
2006,BLZ,Belize,274429335.0
2001,BOL,Bolivia (Plurinational State of),1349864878.47
2002,BOL,Bolivia (Plurinational State of),1372218621.03
2003,BOL,Bolivia (Plurinational State of),1674001460.36
2004,BOL,Bolivia (Plurinational State of),2262672926.87
2005,BOL,Bolivia (Plurinational State of),2945537489.73
2006,BOL,Bolivia (Plurinational State of),4229618678.21
2001,BRA,Brazil,58032294243.0
2002,BRA,Brazil,60144460644.0
2003,BRA,Brazil,72772250490.0
2004,BRA,Brazil,95115400894.0
2005,BRA,Brazil,118592084489.0
2006,BRA,Brazil,137574211351.0
2001,BRB,Barbados,259339456.0
2002,BRB,Barbados,215467866.0
2003,BRB,Barbados,249762223.0
2004,BRB,Barbados,195038784.0
2005,BRB,Barbados,361241724.0
2006,BRB,Barbados,441213595.0
2001,BRN,Brunei Darussalam,3508207394.0
2002,BRN,Brunei Darussalam,3565731840.0
2003,BRN,Brunei Darussalam,4144343040.0
2004,BRN,Brunei Darussalam,5069124801.0
2006,BRN,Brunei Darussalam,7624294773.067
2005,BTN,Bhutan,258368290.0
2006,BTN,Bhutan,413886408.0
2001,BWA,Botswana,2533037210.0
2002,BWA,Botswana,2745130539.0
2003,BWA,Botswana,3801646079.0
2004,BWA,Botswana,3510761984.0
2005,BWA,Botswana,4430627567.0
2006,BWA,Botswana,4506181889.0
2001,CAF,Central African Rep.,74406870.0
2002,CAF,Central African Rep.,56875137.0
2003,CAF,Central African Rep.,65497391.0
2004,CAF,Central African Rep.,106609176.0
2005,CAF,Central African Rep.,110732404.0
2006,CAF,Central African Rep.,109836719.0
2001,CAN,Canada,261058774883.0
2002,CAN,Canada,252584259640.0
2003,CAN,Canada,272229685914.0
2004,CAN,Canada,317161191588.0
2005,CAN,Canada,360552446268.0
2006,CAN,Canada,388178675701.0
2001,CHE,Switzerland,93341284648.937
2002,CHE,Switzerland,101271489422.947
2003,CHE,Switzerland,115352204966.545
2004,CHE,Switzerland,137795773164.55
2005,CHE,Switzerland,149887649349.129
2006,CHE,Switzerland,166455125817.675
2001,CHL,Chile,18745414508.0
2002,CHL,Chile,17423088183.0
2003,CHL,Chile,21746916260.097
2004,CHL,Chile,33117189709.209
2005,CHL,Chile,42081063484.579
2006,CHL,Chile,59515580670.388
2001,CHN,China,266098208590.0
2002,CHN,China,325595969765.0
2003,CHN,China,438227767355.0
2004,CHN,China,593325581430.0
2005,CHN,China,761953409531.0
2006,CHN,China,968935601013.0
2001,CIV,Côte d'Ivoire,3649815674.0
2002,CIV,Côte d'Ivoire,4985289857.0
2003,CIV,Côte d'Ivoire,5326972525.0
2004,CIV,Côte d'Ivoire,6578856275.0
2005,CIV,Côte d'Ivoire,7247936390.0
2006,CIV,Côte d'Ivoire,8147735548.0
2001,CMR,Cameroon,1744966784.0
2002,CMR,Cameroon,1809263791.0
2003,CMR,Cameroon,2282560206.0
2004,CMR,Cameroon,2476762499.0
2005,CMR,Cameroon,2848654871.0
2006,CMR,Cameroon,3576419991.0
2001,COK,Cook Isds,6823828.0
2002,COK,Cook Isds,5099700.0
2003,COK,Cook Isds,8611607.0
2004,COK,Cook Isds,7152025.0
2005,COK,Cook Isds,5239418.0
2001,COL,Colombia,12301486486.0
2002,COL,Colombia,11897488381.0
2003,COL,Colombia,13092218069.0
2004,COL,Colombia,16729677706.0
2005,COL,Colombia,21190438735.0
2006,COL,Colombia,24390975103.0
2001,COM,Comoros,7687386.0
2002,COM,Comoros,9345886.0
2003,COM,Comoros,6479267.0
2004,COM,Comoros,7907489.0
2005,COM,Comoros,3740681.0
2006,COM,Comoros,2588695.0
2001,CPV,Cabo Verde,9754001.0
2002,CPV,Cabo Verde,10614631.0
2003,CPV,Cabo Verde,12462610.0
2004,CPV,Cabo Verde,15197102.0
2005,CPV,Cabo Verde,89420818.0
2006,CPV,Cabo Verde,110285928.0
2001,CRI,Costa Rica,4715789488.0
2002,CRI,Costa Rica,4950400241.0
2003,CRI,Costa Rica,5800403559.0
2004,CRI,Costa Rica,5952582116.0
2005,CRI,Costa Rica,7150688305.0
2006,CRI,Costa Rica,7254865615.0
2001,CUB,Cuba,1664828512.0
2002,CUB,Cuba,1421666315.0
2003,CUB,Cuba,1676913024.0
2004,CUB,Cuba,2332101252.0
2005,CUB,Cuba,2318592231.0
2006,CUB,Cuba,2980151743.0
2001,CYP,Cyprus,997160970.0
2002,CYP,Cyprus,837007019.0
2003,CYP,Cyprus,923135055.0
2004,CYP,Cyprus,1171483862.0
2005,CYP,Cyprus,1546373415.0
2006,CYP,Cyprus,1414865802.0
2001,CZE,Czechia,33384210374.0
2002,CZE,Czechia,44263575824.0
2003,CZE,Czechia,48720350334.0
2004,CZE,Czechia,65771586904.0
2005,CZE,Czechia,78208547529.0
2006,CZE,Czechia,95140986342.0
2001,DEU,Germany,571426720000.0
2002,DEU,Germany,615997391000.0
2003,DEU,Germany,748531267000.0
2004,DEU,Germany,911742096000.0
2005,DEU,Germany,977131972000.0
2006,DEU,Germany,1121962887000.0
2001,DMA,Dominica,43396107.0
2002,DMA,Dominica,41901791.0
2003,DMA,Dominica,39306229.0
2004,DMA,Dominica,41309285.0
2005,DMA,Dominica,41782567.0
2006,DMA,Dominica,41472783.0
2001,DNK,Denmark,50973842380.0
2002,DNK,Denmark,55673560165.0
2003,DNK,Denmark,64614226301.0
2004,DNK,Denmark,74740558446.0
2005,DNK,Denmark,82278145320.0
2006,DNK,Denmark,90886573242.0
2001,DOM,Dominican Rep.,814348992.0
2002,DOM,Dominican Rep.,5377227475.915
2003,DOM,Dominican Rep.,5586989153.443
2004,DOM,Dominican Rep.,6030254851.0
2005,DOM,Dominican Rep.,6287330823.0
2006,DOM,Dominican Rep.,6793936081.0
2001,DZA,Algeria,19147619190.0
2002,DZA,Algeria,18832409255.0
2003,DZA,Algeria,24653655793.0
2004,DZA,Algeria,32076791698.0
2005,DZA,Algeria,46001735483.0
2006,DZA,Algeria,54612721784.0
2001,ECU,Ecuador,4647491551.0
2002,ECU,Ecuador,5029750862.0
2003,ECU,Ecuador,6038498705.0
2004,ECU,Ecuador,7606121136.0
2005,ECU,Ecuador,9869356995.0
2006,ECU,Ecuador,12727796058.0
2001,EGY,Egypt,4159622973.085
2002,EGY,Egypt,4682693839.989
2003,EGY,Egypt,6349015028.506
2004,EGY,Egypt,7693656110.48
2005,EGY,Egypt,10661807668.289
2006,EGY,Egypt,13755056391.366
2003,ERI,Eritrea,6618760.0
2001,ESP,Spain,116148836649.149
2002,ESP,Spain,125854970221.893
2003,ESP,Spain,159583502921.667
2004,ESP,Spain,180375685449.519
2005,ESP,Spain,192787684235.363
2006,ESP,Spain,213990071795.937
2001,EST,Estonia,3996831790.0
2002,EST,Estonia,4341041344.0
2003,EST,Estonia,5629181510.0
2004,EST,Estonia,6525925372.0
2005,EST,Estonia,8245446243.67
2006,EST,Estonia,10040854714.63
2001,ETH,Ethiopia,386374914.521
2002,ETH,Ethiopia,417009825.502
2003,ETH,Ethiopia,512103979.051
2004,ETH,Ethiopia,614850494.766
2005,ETH,Ethiopia,1011229585.986
2006,ETH,Ethiopia,948915180.262
2001,FIN,Finland,44300007648.0
2002,FIN,Finland,44517737827.0
2003,FIN,Finland,52509302880.0
2004,FIN,Finland,60918355298.0
2005,FIN,Finland,65238316354.0
2006,FIN,Finland,77279102962.0
2001,FJI,Fiji,460582117.0
2002,FJI,Fiji,522580368.0
2003,FJI,Fiji,503139384.0
2004,FJI,Fiji,552813560.0
2005,FJI,Fiji,701701255.0
2006,FJI,Fiji,678907787.0
2001,FRA,France,289599104778.0
2002,FRA,France,304891879379.0
2003,FRA,France,358131717318.0
2004,FRA,France,413708421587.0
2005,FRA,France,434354245109.0
2006,FRA,France,479012852041.0
2001,FRO,Faroe Isds,521707282.0
2002,FRO,Faroe Isds,542029275.0
2003,FRO,Faroe Isds,599298534.0
2004,FRO,Faroe Isds,620097024.0
2005,FRO,Faroe Isds,601764406.0
2006,FRO,Faroe Isds,630967180.0
2002,FSM,FS Micronesia,14441104.0
2003,FSM,FS Micronesia,18206369.0
2004,FSM,FS Micronesia,14002604.0
2005,FSM,FS Micronesia,12984435.0
2006,FSM,FS Micronesia,8922341.0
2001,GAB,Gabon,2520872259.0
2002,GAB,Gabon,2411129826.0
2003,GAB,Gabon,2826852075.0
2004,GAB,Gabon,2786374933.217
2005,GAB,Gabon,5068411758.0
2006,GAB,Gabon,6015409905.0
2001,GBR,United Kingdom,279425458536.0
2002,GBR,United Kingdom,285996254299.0
2003,GBR,United Kingdom,312059899702.0
2004,GBR,United Kingdom,355027953622.0
2005,GBR,United Kingdom,392744018675.0
2006,GBR,United Kingdom,458598557420.0
2001,GEO,Georgia,317636108.0
2002,GEO,Georgia,345933475.0
2003,GEO,Georgia,461405611.0
2004,GEO,Georgia,646902963.0
2005,GEO,Georgia,865454199.0
2006,GEO,Georgia,935139221.0
2001,GHA,Ghana,1038374515.0
2003,GHA,Ghana,2324299058.0
2004,GHA,Ghana,2450542925.0
2005,GHA,Ghana,3059743451.0
2006,GHA,Ghana,3613993659.0
2001,GIN,Guinea,572781490.0
2002,GIN,Guinea,526592961.0
2004,GIN,Guinea,628664123.0
2005,GIN,Guinea,795731590.0
2006,GIN,Guinea,770490807.0
2001,GMB,Gambia,8920474.368
2002,GMB,Gambia,17316009.81
2003,GMB,Gambia,2689160.522
2004,GMB,Gambia,17152498.594
2005,GMB,Gambia,4600450.235
2006,GMB,Gambia,10226553.089
2003,GNB,Guinea-Bissau,61366793.0
2004,GNB,Guinea-Bissau,54124875.0
2005,GNB,Guinea-Bissau,23244874.0
2001,GRC,Greece,10402391191.0
2002,GRC,Greece,10327361391.0
2003,GRC,Greece,13655065868.0
2004,GRC,Greece,15246705800.0
2005,GRC,Greece,17434446631.0
2006,GRC,Greece,20942761761.0
2001,GRD,Grenada,58638839.0
2002,GRD,Grenada,38261840.0
2003,GRD,Grenada,40192364.0
2004,GRD,Grenada,31574496.0
2005,GRD,Grenada,27644855.0
2006,GRD,Grenada,25370551.0
2001,GRL,Greenland,267738063.0
2002,GRL,Greenland,305370451.0
2003,GRL,Greenland,348555549.0
2004,GRL,Greenland,364793319.0
2005,GRL,Greenland,402039627.0
2006,GRL,Greenland,409834410.0
2001,GTM,Guatemala,2411677538.0
2002,GTM,Guatemala,2461566066.0
2003,GTM,Guatemala,2634520456.0
2004,GTM,Guatemala,2928354419.0
2005,GTM,Guatemala,5380815602.0
2006,GTM,Guatemala,3198083858.0
2001,GUY,Guyana,481230729.0
2002,GUY,Guyana,446519993.0
2003,GUY,Guyana,473312929.0
2004,GUY,Guyana,544687101.0
2005,GUY,Guyana,538651704.0
2006,GUY,Guyana,567384899.0
2001,HKG,"China, Hong Kong SAR",191067244191.0
2002,HKG,"China, Hong Kong SAR",201927773285.0
2003,HKG,"China, Hong Kong SAR",228708303192.0
2004,HKG,"China, Hong Kong SAR",265605541504.0
2005,HKG,"China, Hong Kong SAR",292118674179.0
2006,HKG,"China, Hong Kong SAR",322668792026.0
2001,HND,Honduras,1148561328.0
2002,HND,Honduras,965426618.0
2003,HND,Honduras,991971868.0
2004,HND,Honduras,1194415061.0
2005,HND,Honduras,1294424886.0
2006,HND,Honduras,1879660736.0
2001,HRV,Croatia,4665908208.0
2002,HRV,Croatia,4903584487.0
2003,HRV,Croatia,6186630195.0
2004,HRV,Croatia,8024156751.0
2005,HRV,Croatia,8772552653.0
2006,HRV,Croatia,10376964369.0
2001,HUN,Hungary,30497719000.0
2002,HUN,Hungary,34336583000.0
2003,HUN,Hungary,43003656000.0
2004,HUN,Hungary,55468212000.0
2005,HUN,Hungary,62271839000.0
2006,HUN,Hungary,74055406000.0
2001,IDN,Indonesia,56316866700.0
2002,IDN,Indonesia,57158751145.0
2003,IDN,Indonesia,61058187386.0
2004,IDN,Indonesia,71582468122.0
2005,IDN,Indonesia,85659947504.0
2006,IDN,Indonesia,100798615667.0
2001,IND,India,43878488724.0
2002,IND,India,50097958247.0
2003,IND,India,59360659088.0
2004,IND,India,75904200367.0
2005,IND,India,100352636503.0
2006,IND,India,121200606221.0
2001,IRL,Ireland,83051473511.415
2002,IRL,Ireland,88827858299.296
2003,IRL,Ireland,93385771209.593
2004,IRL,Ireland,105611806389.428
2005,IRL,Ireland,108419104091.52
2006,IRL,Ireland,109859599425.298
2001,IRN,Iran,23904000000.0
2002,IRN,Iran,28186000000.0
2003,IRN,Iran,33788000000.0
2004,IRN,Iran,44628000000.0
2005,IRN,Iran,60012000000.0
2006,IRN,Iran,63247000000.0
2001,ISL,Iceland,2017107901.0
2002,ISL,Iceland,2229304922.0
2003,ISL,Iceland,2380474793.0
2004,ISL,Iceland,2889862538.0
2005,ISL,Iceland,3090525571.0
2006,ISL,Iceland,3453146167.0
2001,ISR,Israel,29061770000.0
2002,ISR,Israel,29511398000.0
2003,ISR,Israel,31782744000.0
2004,ISR,Israel,38620084000.0
2005,ISR,Israel,42770660000.0
2006,ISR,Israel,46791913000.0
2001,ITA,Italy,242640592214.71
2002,ITA,Italy,252238686137.791
2003,ITA,Italy,296907925942.601
2004,ITA,Italy,350902540941.509
2005,ITA,Italy,370180742634.799
2006,ITA,Italy,416848746575.026
2001,JAM,Jamaica,1223116443.0
2002,JAM,Jamaica,1104075111.0
2003,JAM,Jamaica,1194471256.0
2004,JAM,Jamaica,1405493527.0
2005,JAM,Jamaica,1514467023.0
2006,JAM,Jamaica,1988807945.0
2001,JOR,Jordan,2294435873.0
2002,JOR,Jordan,2770023012.0
2003,JOR,Jordan,3081629608.0
2004,JOR,Jordan,3891117167.0
2005,JOR,Jordan,4284168675.0
2006,JOR,Jordan,5166644982.0
2001,JPN,Japan,403344076901.0
2002,JPN,Japan,416729388431.0
2003,JPN,Japan,472006874038.0
2004,JPN,Japan,565761136640.0
2005,JPN,Japan,594940865790.0
2006,JPN,Japan,646725058608.0
2001,KAZ,Kazakhstan,8485515400.0
2002,KAZ,Kazakhstan,9642683000.0
2003,KAZ,Kazakhstan,12915946500.0
2004,KAZ,Kazakhstan,20079042632.0
2005,KAZ,Kazakhstan,27846084842.0
2006,KAZ,Kazakhstan,38244423102.0
2001,KEN,Kenya,1520119132.0
2002,KEN,Kenya,1400699994.0
2003,KEN,Kenya,2551148135.0
2004,KEN,Kenya,2683309047.0
2005,KEN,Kenya,3419900763.0
2006,KEN,Kenya,3501655656.0
2001,KGZ,Kyrgyzstan,476151634.0
2002,KGZ,Kyrgyzstan,460307099.0
2003,KGZ,Kyrgyzstan,581728886.0
2004,KGZ,Kyrgyzstan,718716837.0
2005,KGZ,Kyrgyzstan,672013688.0
2006,KGZ,Kyrgyzstan,794067447.0
2001,KHM,Cambodia,1499274357.0
2002,KHM,Cambodia,1922991495.0
2003,KHM,Cambodia,2118223935.0
2004,KHM,Cambodia,2797507087.0
2005,KHM,Cambodia,3018613014.0
2006,KHM,Cambodia,3566412909.0
2005,KIR,Kiribati,3573330.0
2001,KNA,Saint Kitts and Nevis,30949175.0
2002,KNA,Saint Kitts and Nevis,38972969.0
2003,KNA,Saint Kitts and Nevis,40929756.0
2004,KNA,Saint Kitts and Nevis,40247025.0
2005,KNA,Saint Kitts and Nevis,34305700.0
2006,KNA,Saint Kitts and Nevis,39705571.0
2001,KOR,Rep. of Korea,150430885651.0
2002,KOR,Rep. of Korea,162466097148.0
2003,KOR,Rep. of Korea,193817313718.0
2004,KOR,Rep. of Korea,253844608908.0
2005,KOR,Rep. of Korea,284418167174.0
2006,KOR,Rep. of Korea,325457247330.0
2001,KWT,Kuwait,16164756731.0
2002,KWT,Kuwait,15406421027.0
2003,KWT,Kuwait,20638164292.0
2004,KWT,Kuwait,28647976843.0
2006,KWT,Kuwait,56003316716.0
2001,LBN,Lebanon,889296930.0
2002,LBN,Lebanon,1045493207.0
2003,LBN,Lebanon,1523934413.0
2004,LBN,Lebanon,1744957000.0
2005,LBN,Lebanon,1879013000.0
2006,LBN,Lebanon,2282513738.0
2001,LCA,Saint Lucia,44809121.0
2002,LCA,Saint Lucia,62058376.0
2003,LCA,Saint Lucia,62532940.0
2004,LCA,Saint Lucia,79782364.0
2005,LCA,Saint Lucia,64220340.0
2006,LCA,Saint Lucia,93745601.0
2001,LKA,Sri Lanka,4723871679.0
2002,LKA,Sri Lanka,4722972860.0
2003,LKA,Sri Lanka,4867830504.0
2004,LKA,Sri Lanka,5466642794.0
2005,LKA,Sri Lanka,6159855307.0
2006,LKA,Sri Lanka,6760001046.0
2001,LSO,Lesotho,299382881.523
2002,LSO,Lesotho,342028310.888
2003,LSO,Lesotho,420197810.214
2004,LSO,Lesotho,958207688.89
2005,LSO,Lesotho,403069912.947
2006,LSO,Lesotho,692910882.266
2001,LTU,Lithuania,4583049510.0
2002,LTU,Lithuania,5475632489.0
2003,LTU,Lithuania,7162369874.0
2004,LTU,Lithuania,9302608608.0
2005,LTU,Lithuania,11781752803.0
2006,LTU,Lithuania,14135189599.0
2001,LUX,Luxembourg,8259975150.0
2002,LUX,Luxembourg,8592956315.0
2003,LUX,Luxembourg,9987082177.0
2004,LUX,Luxembourg,12167836185.0
2005,LUX,Luxembourg,12714922011.0
2006,LUX,Luxembourg,14183095734.0
2001,LVA,Latvia,1601115193.866
2002,LVA,Latvia,1895462153.968
2003,LVA,Latvia,2656681428.068
2004,LVA,Latvia,3805358822.653
2005,LVA,Latvia,5112684064.824
2006,LVA,Latvia,5883484787.528
2001,MAC,"China, Macao SAR",2370514687.518
2002,MAC,"China, Macao SAR",2455065780.212
2003,MAC,"China, Macao SAR",2616417144.897
2004,MAC,"China, Macao SAR",2785295504.743
2005,MAC,"China, Macao SAR",2295983185.263
2006,MAC,"China, Macao SAR",2297736093.633
2001,MAR,Morocco,7133587748.33
2002,MAR,Morocco,7825354495.219
2003,MAR,Morocco,8738340951.566
2004,MAR,Morocco,9870178797.041
2005,MAR,Morocco,11197412931.234
2006,MAR,Morocco,12731302741.583
2001,MDA,Rep. of Moldova,568126635.0
2002,MDA,Rep. of Moldova,643905065.0
2003,MDA,Rep. of Moldova,790296669.0
2004,MDA,Rep. of Moldova,985173195.0
2005,MDA,Rep. of Moldova,1091254570.0
2006,MDA,Rep. of Moldova,1051600710.0
2001,MDG,Madagascar,925821980.169
2002,MDG,Madagascar,662527538.747
2003,MDG,Madagascar,971639762.003
2004,MDG,Madagascar,1004574857.138
2005,MDG,Madagascar,852530550.561
2006,MDG,Madagascar,985928644.484
2001,MDV,Maldives,76688392.0
2002,MDV,Maldives,90756518.0
2003,MDV,Maldives,112962652.0
2004,MDV,Maldives,169740947.0
2005,MDV,Maldives,154174655.0
2006,MDV,Maldives,135603308.0
2001,MEX,Mexico,158386216926.0
2002,MEX,Mexico,160750540171.0
2003,MEX,Mexico,164906508836.0
2004,MEX,Mexico,187980442491.0
2005,MEX,Mexico,214207305610.0
2006,MEX,Mexico,249960545529.0
2001,MKD,North Macedonia,1157506357.52
2002,MKD,North Macedonia,1115526771.31
2003,MKD,North Macedonia,1366988575.26
2004,MKD,North Macedonia,1675877048.3
2005,MKD,North Macedonia,2042295601.12
2006,MKD,North Macedonia,2415160679.93
2001,MLI,Mali,712872539.0
2002,MLI,Mali,852176849.0
2003,MLI,Mali,1007432000.0
2004,MLI,Mali,987483075.0
2005,MLI,Mali,1075106506.0
2006,MLI,Mali,1526125030.0
2001,MLT,Malta,1758218235.0
2002,MLT,Malta,2126266232.0
2003,MLT,Malta,2466970737.0
2004,MLT,Malta,2631727830.0
2005,MLT,Malta,2430591661.0
2006,MLT,Malta,2847260492.0
2006,MNE,Montenegro,556459015.0
2001,MNG,Mongolia,523223393.0
2002,MNG,Mongolia,480453494.0
2003,MNG,Mongolia,615867136.0
2004,MNG,Mongolia,856009381.0
2005,MNG,Mongolia,1064384730.0
2006,MNG,Mongolia,1542321443.0
2001,MOZ,Mozambique,703133599.0
2002,MOZ,Mozambique,809812034.0
2003,MOZ,Mozambique,1043912538.0
2004,MOZ,Mozambique,1503846229.0
2005,MOZ,Mozambique,1745256187.0
2006,MOZ,Mozambique,2381131616.0
2001,MRT,Mauritania,346908751.0
2002,MRT,Mauritania,319914224.0
2003,MRT,Mauritania,320791677.0
2004,MRT,Mauritania,435221648.0
2005,MRT,Mauritania,556397355.0
2001,MSR,Montserrat,722396.0
2002,MSR,Montserrat,1411573.0
2003,MSR,Montserrat,1774314.0
2004,MSR,Montserrat,4238596.0
2005,MSR,Montserrat,1441547.0
2006,MSR,Montserrat,1310931.0
2001,MUS,Mauritius,1588614446.0
2002,MUS,Mauritius,1755597246.0
2003,MUS,Mauritius,1880801862.0
2004,MUS,Mauritius,2004667777.0
2005,MUS,Mauritius,2143866231.0
2006,MUS,Mauritius,2333369314.0
2001,MWI,Malawi,444615141.944
2002,MWI,Malawi,411392307.948
2003,MWI,Malawi,534386468.973
2004,MWI,Malawi,485143674.738
2005,MWI,Malawi,507885250.3
2006,MWI,Malawi,690601155.171
2001,MYS,Malaysia,88004108096.0
2002,MYS,Malaysia,93282453146.0
2003,MYS,Malaysia,104968562038.0
2004,MYS,Malaysia,126639700629.0
2005,MYS,Malaysia,141624045896.0
2006,MYS,Malaysia,160669230590.0
2001,MYT,Mayotte (Overseas France),3504403.0
2002,MYT,Mayotte (Overseas France),5635303.0
2003,MYT,Mayotte (Overseas France),4995633.0
2004,MYT,Mayotte (Overseas France),4898029.0
2005,MYT,Mayotte (Overseas France),6429819.0
2006,MYT,Mayotte (Overseas France),7401875.0
2001,NAM,Namibia,1362661684.0
2002,NAM,Namibia,1273578984.0
2003,NAM,Namibia,1289093890.0
2004,NAM,Namibia,2544641893.0
2005,NAM,Namibia,2725998937.0
2006,NAM,Namibia,3375926731.0
2001,NCL,New Caledonia,406977222.0
2002,NCL,New Caledonia,408884360.0
2003,NCL,New Caledonia,728575673.0
2004,NCL,New Caledonia,1008778078.0
2005,NCL,New Caledonia,1113887828.0
2006,NCL,New Caledonia,1135375007.0
2001,NER,Niger,211268937.0
2002,NER,Niger,198995903.0
2003,NER,Niger,228721296.0
2004,NER,Niger,399780462.0
2005,NER,Niger,485723498.0
2006,NER,Niger,469971950.0
2001,NGA,Nigeria,18046400025.0
2002,NGA,Nigeria,18607402039.0
2003,NGA,Nigeria,24077148067.0
2006,NGA,Nigeria,59215233334.0
2001,NIC,Nicaragua,532239546.0
2002,NIC,Nicaragua,558704717.0
2003,NIC,Nicaragua,605203613.0
2004,NIC,Nicaragua,759846690.0
2005,NIC,Nicaragua,866022810.0
2006,NIC,Nicaragua,758641900.0
2001,NLD,Netherlands,216157868852.0
2002,NLD,Netherlands,219820522373.0
2003,NLD,Netherlands,264796481554.0
2004,NLD,Netherlands,318040302606.0
2005,NLD,Netherlands,349813022655.0
2006,NLD,Netherlands,400685883216.0
